Demographic Summary,,,,,,,,,,,,
Spring 2002,,,,,,,,,,,,
College Veterinary Medicine,,,,,,,,,,,,
Spring 2002,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,1736,-10.1%,67,28.8%,82,-7.9%,490,-2.2%,2375,-7.7%,
Gender,Female,1136,-11.7%,35,29.6%,42,-4.5%,337,-0.3%,1550,-8.6%,
,Male,600,-6.8%,32,28.0%,40,-11.1%,153,-6.1%,825,-5.9%,
Ethnicity,White,1383,-9.0%,43,19.4%,51,0.0%,439,-2.2%,1916,-6.8%,
,Black,41,-21.2%,2,100.0%,1,-50.0%,,,44,-20.0%,
,Hispanic,182,-11.7%,7,40.0%,2,-33.3%,23,-4.2%,214,-10.1%,
,Asian,87,-14.7%,2,100.0%,1,-66.7%,18,0.0%,108,-12.9%,
,American Indian,8,-27.3%,,,,,4,0.0%,12,-20.0%,
,International,7,16.7%,12,33.3%,25,-13.8%,,,44,0.0%,
,Unknown/Other,28,-20.0%,1,100.0%,2,100.0%,6,0.0%,37,-11.9%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,1135,-10.3%,,,,,2,-33.3%,1137,-10.3%,
,22-25,566,-8.7%,24,14.3%,7,75.0%,226,-5.0%,823,-6.8%,
,26-30,23,-25.8%,23,21.1%,23,-34.3%,195,2.1%,264,-4.3%,
,31-39,9,-18.2%,17,112.5%,37,5.7%,55,-3.5%,118,6.3%,
,40+,3,-25.0%,3,-25.0%,15,0.0%,12,0.0%,33,-5.7%,
Enrollment,1st Time in College,6,-14.3%,,,,,,,6,-14.3%,
Status,1st Time PB,4,-33.3%,,,,,,,4,-33.3%,
,1st Time Graduate,,,7,40.0%,2,100.0%,,,9,50.0%,
,1st Time Transfer,15,-6.3%,,,,,,,15,-6.3%,
,Re-Admitted,6,20.0%,,,,,,,6,20.0%,
,Continuing,1705,-10.1%,60,27.7%,80,-9.1%,490,-2.2%,2335,-7.8%,
Tuition,Resident Tuition,1666,-10.1%,49,44.1%,34,-5.6%,471,-1.3%,2220,-7.5%,
Status,Non-Resident Tuition,38,-11.6%,7,250.0%,9,0.0%,8,14.3%,62,1.6%,
,Tuition Exemption/Waiver,32,-8.6%,11,-31.3%,39,-11.4%,11,-35.3%,93,-17.0%,
Residency,Texas Resident,1669,-9.9%,51,50.0%,34,-5.6%,471,-1.3%,2225,-7.3%,
Status,"Non-TX, US Resident",60,-16.7%,4,-55.6%,23,-4.2%,19,-20.8%,106,-17.8%,
,"Non-TX, Non-US Resident",7,16.7%,12,33.3%,25,-13.8%,,,44,0.0%,
SCH,< 6 SCH,20,-9.1%,24,-4.0%,21,16.7%,,,65,0.0%,
Categories,6-8 SCH,29,-21.6%,10,25.0%,4,300.0%,,,43,-6.5%,
,9-11 SCH,79,2.6%,31,63.2%,55,-16.7%,,,165,1.9%,
,12-14 SCH,1058,-10.6%,2,100.0%,1,-50.0%,1,100.0%,1062,-10.5%,
,15-17 SCH,513,-9.7%,,,1,-50.0%,32,-8.6%,546,-9.8%,
,>17 SCH,37,-14.0%,,,,,457,-1.9%,494,-2.9%,
Ft/Pt:,Less Than Half Time,17,-22.7%,13,-7.1%,17,13.3%,,,47,-7.8%,
"TAMU
Status","Half-Time
Three-Quarter Time","29
79","-21.6%
2.6%",21,10.5%,8,100.0%,,,"58
79","-3.3%
2.6%",
,Full-Time,1611,-10.3%,33,73.7%,57,-18.6%,490,-2.2%,2191,-8.1%,
"Prepared by OISP, 19 Mar 02",,,,,,,,,,,,
