Headcount by Level by Ethnic Origin by Gender,,,,,,,,,,,,
Spring 2002,,,,,,,,,,,,
Spring 2002,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Female,White,13806,2.1%,1062,11.6%,548,-1.6%,298,0.0%,15714,2.5%,
,Black,485,3.2%,44,-15.4%,62,-7.5%,,,591,0.3%,
,Hispanic,1467,0.6%,107,12.6%,84,7.7%,19,-9.5%,1677,1.5%,
,Asian,503,-1.2%,38,26.7%,24,-4.0%,15,7.1%,580,0.3%,
,American Indian,79,17.9%,1,-66.7%,4,33.3%,3,0.0%,87,14.5%,
,International,142,-0.7%,466,9.9%,324,14.5%,,,932,9.6%,
,Unknown/Other,228,-22.2%,19,-5.0%,9,12.5%,2,0.0%,258,-20.1%,
,Subtotal,16710,1.5%,1737,10.2%,1055,3.3%,337,-0.3%,19839,2.2%,
Male,White,14314,2.1%,1218,5.2%,742,-2.4%,141,-6.6%,16415,2.0%,
,Black,347,3.6%,45,40.6%,22,-26.7%,,,414,4.3%,
,Hispanic,1532,-1.9%,115,19.8%,52,-16.1%,4,33.3%,1703,-1.1%,
,Asian,632,-3.4%,48,11.6%,24,-4.0%,3,-25.0%,707,-2.6%,
,American Indian,98,7.7%,5,25.0%,5,-16.7%,1,0.0%,109,6.9%,
,International,298,-10.2%,1085,6.5%,994,3.1%,,,2377,2.7%,
,Unknown/Other,254,-15.1%,34,100.0%,18,-14.3%,4,0.0%,310,-9.1%,
,Subtotal,17475,1.1%,2550,7.6%,1857,-0.6%,153,-6.1%,22035,1.6%,
GRAND Total,,34185,1.3%,4287,8.7%,2912,0.8%,490,-2.2%,41874,1.9%,
"Prepared by OISP, 19 Mar 02",,,,,,,,,,,,
