Demographic Summary,,,,,,,,,,,,
Spring 2002,,,,,,,,,,,,
College General Studies,,,,,,,,,,,,
Spring 2002,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,3089,6.1%,,,,,,,3089,6.1%,
Gender,Female,1365,-0.9%,,,,,,,1365,-0.9%,
,Male,1724,12.4%,,,,,,,1724,12.4%,
Ethnicity,White,2513,5.5%,,,,,,,2513,5.5%,
,Black,109,9.0%,,,,,,,109,9.0%,
,Hispanic,316,15.8%,,,,,,,316,15.8%,
,Asian,87,6.1%,,,,,,,87,6.1%,
,American Indian,15,-11.8%,,,,,,,15,-11.8%,
,International,19,5.6%,,,,,,,19,5.6%,
,Unknown/Other,30,-21.1%,,,,,,,30,-21.1%,
TAMU Age,<18,0,-100.0%,,,,,,,0,-100.0%,
Categories,18-21,2905,7.7%,,,,,,,2905,7.7%,
,22-25,167,-14.4%,,,,,,,167,-14.4%,
,26-30,14,27.3%,,,,,,,14,27.3%,
,31-39,2,-66.7%,,,,,,,2,-66.7%,
,40+,1,0.0%,,,,,,,1,0.0%,
Enrollment,1st Time in College,16,-27.3%,,,,,,,16,-27.3%,
Status,1st Time PB,1,100.0%,,,,,,,1,100.0%,
,1st Time Graduate,,,,,,,,,,,
,1st Time Transfer,22,-64.5%,,,,,,,22,-64.5%,
,Re-Admitted,36,100.0%,,,,,,,36,100.0%,
,Continuing,3014,7.3%,,,,,,,3014,7.3%,
Tuition,Resident Tuition,2964,6.5%,,,,,,,2964,6.5%,
Status,Non-Resident Tuition,87,-5.4%,,,,,,,87,-5.4%,
,Tuition Exemption/Waiver,38,2.7%,,,,,,,38,2.7%,
Residency,Texas Resident,2976,6.9%,,,,,,,2976,6.9%,
Status,"Non-TX, US Resident",93,-12.3%,,,,,,,93,-12.3%,
,"Non-TX, Non-US Resident",20,0.0%,,,,,,,20,0.0%,
SCH,< 6 SCH,337,1772.2%,,,,,,,337,1772.2%,
Categories,6-8 SCH,40,-23.1%,,,,,,,40,-23.1%,
,9-11 SCH,65,-36.3%,,,,,,,65,-36.3%,
,12-14 SCH,2054,-5.3%,,,,,,,2054,-5.3%,
,15-17 SCH,581,3.4%,,,,,,,581,3.4%,
,>17 SCH,12,33.3%,,,,,,,12,33.3%,
Ft/Pt:,Less Than Half Time,336,1766.7%,,,,,,,336,1766.7%,
"TAMU
Status","Half-Time
Three-Quarter Time","40
65","-23.1%
-36.3%",,,,,,,"40
65","-23.1%
-36.3%",
,Full-Time,2648,-3.3%,,,,,,,2648,-3.3%,
"Prepared by OISP, 19 Mar 02",,,,,,,,,,,,
