Demographic Summary,,,,,,,,,,,,
Spring 2002,,,,,,,,,,,,
College G. Bush School of Govt,,,,,,,,,,,,
Spring 2002,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,74,42.3%,,,,,74,42.3%,
Gender,Female,,,34,36.0%,,,,,34,36.0%,
,Male,,,40,48.1%,,,,,40,48.1%,
Ethnicity,White,,,59,34.1%,,,,,59,34.1%,
,Black,,,3,50.0%,,,,,3,50.0%,
,Hispanic,,,7,133.3%,,,,,7,133.3%,
,Asian,,,0,-100.0%,,,,,0,-100.0%,
,American Indian,,,1,100.0%,,,,,1,100.0%,
,International,,,3,50.0%,,,,,3,50.0%,
,Unknown/Other,,,1,100.0%,,,,,1,100.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,,,,,,,,,
,22-25,,,43,34.4%,,,,,43,34.4%,
,26-30,,,22,69.2%,,,,,22,69.2%,
,31-39,,,5,66.7%,,,,,5,66.7%,
,40+,,,4,0.0%,,,,,4,0.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,1,100.0%,,,,,1,100.0%,
,1st Time Transfer,,,,,,,,,,,
,Re-Admitted,,,,,,,,,,,
,Continuing,,,73,40.4%,,,,,73,40.4%,
Tuition,Resident Tuition,,,45,60.7%,,,,,45,60.7%,
Status,Non-Resident Tuition,,,2,100.0%,,,,,2,100.0%,
,Tuition Exemption/Waiver,,,27,12.5%,,,,,27,12.5%,
Residency,Texas Resident,,,49,75.0%,,,,,49,75.0%,
Status,"Non-TX, US Resident",,,23,4.5%,,,,,23,4.5%,
,"Non-TX, Non-US Resident",,,2,0.0%,,,,,2,0.0%,
SCH,< 6 SCH,,,7,16.7%,,,,,7,16.7%,
Categories,6-8 SCH,,,11,1000.0%,,,,,11,1000.0%,
,9-11 SCH,,,9,350.0%,,,,,9,350.0%,
,12-14 SCH,,,39,14.7%,,,,,39,14.7%,
,15-17 SCH,,,8,-11.1%,,,,,8,-11.1%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,,,7,16.7%,,,,,7,16.7%,
"TAMU
Status","Half-Time
Three-Quarter Time",,,11,1000.0%,,,,,11,1000.0%,
,Full-Time,,,56,24.4%,,,,,56,24.4%,
"Prepared by OISP, 19 Mar 02",,,,,,,,,,,,
