Demographic Summary,,,,,,,,,,,,
Spring 2002,,,,,,,,,,,,
University Total,,,,,,,,,,,,
Spring 2002,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,34185,1.3%,4287,8.7%,2912,0.8%,490,-2.2%,41874,1.9%,
Gender,Female,16710,1.5%,1737,10.2%,1055,3.3%,337,-0.3%,19839,2.2%,
,Male,17475,1.1%,2550,7.6%,1857,-0.6%,153,-6.1%,22035,1.6%,
Ethnicity,White,28120,2.1%,2280,8.1%,1290,-2.1%,439,-2.2%,32129,2.2%,
,Black,832,3.4%,89,6.0%,84,-13.4%,,,1005,1.9%,
,Hispanic,2999,-0.7%,222,16.2%,136,-2.9%,23,-4.2%,3380,0.2%,
,Asian,1135,-2.4%,86,17.8%,48,-4.0%,18,0.0%,1287,-1.3%,
,American Indian,177,12.0%,6,-14.3%,9,0.0%,4,0.0%,196,10.1%,
,International,440,-7.4%,1551,7.5%,1318,5.7%,,,3309,4.5%,
,Unknown/Other,482,-18.6%,53,43.2%,27,-6.9%,6,0.0%,568,-14.5%,
TAMU Age,<18,2,100.0%,,,,,,,2,100.0%,
Categories,18-21,18460,-1.8%,11,10.0%,,,2,-33.3%,18473,-1.8%,
,22-25,14508,6.3%,1870,5.9%,135,15.4%,226,-5.0%,16739,6.1%,
,26-30,800,-7.7%,1375,7.7%,951,-2.4%,195,2.1%,3321,0.4%,
,31-39,299,-2.6%,685,17.5%,1227,3.3%,55,-3.5%,2266,6.1%,
,40+,116,-6.5%,346,12.0%,599,-1.8%,12,0.0%,1073,1.7%,
Enrollment,1st Time in College,73,-18.0%,,,,,,,73,-18.0%,
Status,1st Time PB,28,-3.4%,,,,,,,28,-3.4%,
,1st Time Graduate,,,301,26.5%,84,10.5%,,,385,22.6%,
,1st Time Transfer,766,-7.4%,,,,,,,766,-7.4%,
,Re-Admitted,259,2.4%,19,533.3%,7,75.0%,,,285,9.6%,
,Continuing,33059,1.5%,3967,7.1%,2821,0.4%,490,-2.2%,40337,1.9%,
Tuition,Resident Tuition,32470,1.7%,2107,14.0%,1086,-0.8%,471,-1.3%,36134,2.2%,
Status,Non-Resident Tuition,962,-2.9%,536,3.1%,405,0.0%,8,14.3%,1911,-0.6%,
,Tuition Exemption/Waiver,753,-9.2%,1644,4.3%,1421,2.3%,11,-35.3%,3829,0.5%,
Residency,Texas Resident,32542,1.8%,2134,15.4%,1091,-0.7%,471,-1.3%,36238,2.4%,
Status,"Non-TX, US Resident",1192,-9.3%,602,-7.7%,495,-7.8%,19,-20.8%,2308,-8.7%,
,"Non-TX, Non-US Resident",451,-6.4%,1551,7.4%,1326,5.8%,,,3328,4.7%,
SCH,< 6 SCH,769,41.1%,665,9.2%,738,-5.6%,,,2172,12.2%,
Categories,6-8 SCH,993,8.5%,388,28.5%,159,16.1%,,,1540,13.7%,
,9-11 SCH,1769,4.7%,2323,8.0%,1867,1.6%,,,5959,5.0%,
,12-14 SCH,19670,-1.4%,678,5.3%,116,7.4%,1,100.0%,20465,-1.1%,
,15-17 SCH,10290,3.8%,212,-7.0%,31,40.9%,32,-8.6%,10565,3.6%,
,>17 SCH,694,-7.0%,21,75.0%,1,-66.7%,457,-1.9%,1173,-4.4%,
Ft/Pt:,Less Than Half Time,629,15.4%,551,2.6%,625,-5.4%,,,1805,3.6%,
"TAMU
Status","Half-Time
Three-Quarter Time","888
1638","-3.0%
-3.0%",492,31.9%,260,0.8%,,,"1640
1638","6.1%
-3.0%",
,Full-Time,31030,1.4%,3244,6.9%,2027,2.9%,490,-2.2%,36791,1.9%,
"Prepared by OISP, 19 Mar 02",,,,,,,,,,,,
