Headcount by Major by Level,,,,,,,,,,,,
Spring 2002,,,,,,,,,,,,
Spring 2002,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,ADEV,794,32.3%,11,10.0%,51,21.4%,,,805,32.0%,
,AGBL,187,-4.1%,,,,,,,187,-4.1%,
,AGBU,167,-19.3%,40,5.3%,,,,,207,-15.5%,
,AGEC,361,13.5%,31,-16.2%,,,,,443,11.6%,
,AGED,,,52,30.0%,49,14.0%,,,101,21.7%,
,AGEN,92,-12.4%,3,-89.7%,0,-100.0%,,,95,-34.5%,
,AGJR,78,9.9%,,,,,,,78,9.9%,
,AGLS,185,-28.3%,,,,,,,185,-28.3%,
,AGRO,132,3.9%,20,66.7%,16,6.7%,,,168,9.1%,
,AGSC,179,35.6%,,,,,,,179,35.6%,
,AGSM,196,13.3%,1,-50.0%,,,,,197,12.6%,
,ANBR,,,,,1,0.0%,,,1,0.0%,
,ANSC,619,-4.9%,51,2.0%,20,25.0%,,,690,-3.8%,
,BAEN,,,23,100.0%,10,100.0%,,,33,100.0%,
,BESC,153,-3.8%,,,,,,,153,-3.8%,
,BICH,172,-9.5%,29,-23.7%,59,3.5%,,,260,-8.8%,
,BSEN,31,14.8%,,,,,,,31,14.8%,
,DASC,12,-33.3%,,,,,,,12,-33.3%,
,ENTO,35,-22.2%,26,23.8%,28,7.7%,,,89,-3.3%,
,FISC,,,2,100.0%,,,,,2,100.0%,
,FLOR,4,100.0%,,,,,,,4,100.0%,
,FORS,39,-11.4%,6,100.0%,9,-25.0%,,,54,-8.5%,
,FSTC,75,-7.4%,35,9.4%,23,27.8%,,,133,1.5%,
,GENE,205,-3.8%,9,0.0%,25,4.2%,,,239,-2.8%,
,HORT,138,6.2%,22,-18.5%,12,50.0%,,,172,4.2%,
,MEPS,,,7,75.0%,11,83.3%,,,18,80.0%,
,NRDV,,,4,-33.3%,,,,,4,-33.3%,
,NUSC,241,-4.0%,,,,,,,241,-4.0%,
,NUTR,,,44,-13.7%,12,-29.4%,,,56,-17.6%,
,PLBR,,,10,-16.7%,16,23.1%,,,26,4.0%,
,PLPA,,,7,-41.7%,22,15.8%,,,29,-6.5%,
,POSC,135,4.7%,7,-36.4%,12,50.0%,,,154,4.1%,
,PPHY,,,2,100.0%,2,-33.3%,,,4,0.0%,
,PPRO,,,0,-100.0%,,,,,0,-100.0%,
,PREP,,,10,-16.7%,12,-7.7%,,,22,-12.0%,
,PSSC,4,-50.0%,,,,,,,4,-50.0%,
,RENR,35,6.1%,,,,,,,35,6.1%,
,RLEM,106,14.0%,30,7.1%,30,30.4%,,,166,15.3%,
,RPTS,329,6.1%,25,0.0%,26,62.5%,,,380,8.3%,
"Prepared by OISP, 19 Mar 02",,,,,,,,,,,,
