Spring 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,1964,,45,,93,,493,,2595,,
Gender,Male,662,,22,,46,,162,,892,,
,Female,1302,,23,,47,,331,,1703,,
Ethnic,White,1564,,35,,56,,448,,2103,,
Origin,Black,68,,2,,,,,,70,,
,Hispanic,199,,4,,4,,21,,228,,
,Asian,88,,,,3,,18,,109,,
,American Indian,12,,,,,,4,,16,,
,International,5,,4,,30,,,,39,,
,Unknown/Other,28,,,,,,2,,30,,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,1319,,,,,,1,,1320,,
,22-25,602,,14,,3,,239,,858,,
,26-30,27,,17,,39,,186,,269,,
,31-39,9,,12,,34,,61,,116,,
,40+,7,,2,,17,,6,,32,,
Enrollment,1st Time in College,12,,,,,,,,12,,
Status,1st Time Graduate,,,3,,1,,,,4,,
,1st Time Transfer,27,,,,,,,,27,,
,Re Admitted,4,,,,,,,,4,,
,Continuing,1921,,42,,92,,493,,2548,,
Tuition,Resident Tuition,1891,,32,,38,,468,,2429,,
Status,Non-Resident Tuition,29,,5,,15,,6,,55,,
,Tuition Exemption/Waiver,44,,8,,40,,19,,111,,
Residency,TX Resident,1886,,32,,39,,457,,2414,,
Status,"Non-TX, US Resident",72,,9,,24,,36,,141,,
,"Non-TX, Non-US Resident",6,,4,,30,,,,40,,
SCH,< 6 SCH,15,,17,,17,,,,49,,
Categories,6-8 SCH,35,,5,,3,,,,43,,
,9-11 SCH,78,,19,,69,,,,166,,
,12-14 SCH,1200,,3,,3,,,,1206,,
,15-17 SCH,599,,1,,1,,35,,636,,
,>17 SCH,37,,,,,,458,,495,,
Ft/Pt: 12,Full-time,1836,,23,,73,,493,,2425,,
and 9,Part-time,128,,22,,20,,,,170,,
"Prepared by OISP, 10 Apr 00",,,,,,,,,,,,
