Spring 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,7170,,1054,,694,,,,8918,,
Gender,Male,5751,,826,,606,,,,7183,,
,Female,1419,,228,,88,,,,1735,,
Ethnic,White,5404,,271,,154,,,,5829,,
Origin,Black,213,,8,,6,,,,227,,
,Hispanic,693,,25,,10,,,,728,,
,Asian,460,,27,,16,,,,503,,
,American Indian,39,,,,,,,,39,,
,International,260,,720,,506,,,,1486,,
,Unknown/Other,101,,3,,2,,,,106,,
TAMU Age,<18,3,,,,,,,,3,,
Categories,18-21,3939,,1,,,,,,3940,,
,22-25,2858,,512,,28,,,,3398,,
,26-30,252,,380,,297,,,,929,,
,31-39,92,,136,,320,,,,548,,
,40+,26,,25,,49,,,,100,,
Enrollment,1st Time in College,27,,,,,,,,27,,
Status,1st Time Graduate,,,139,,38,,,,177,,
,1st Time Transfer,123,,,,,,,,123,,
,Re Admitted,48,,,,,,,,48,,
,Continuing,6972,,915,,656,,,,8543,,
Tuition,Resident Tuition,6498,,228,,109,,,,6835,,
Status,Non-Resident Tuition,372,,224,,141,,,,737,,
,Tuition Exemption/Waiver,300,,602,,444,,,,1346,,
Residency,TX Resident,6479,,236,,102,,,,6817,,
Status,"Non-TX, US Resident",421,,95,,85,,,,601,,
,"Non-TX, Non-US Resident",270,,723,,507,,,,1500,,
SCH,< 6 SCH,264,,144,,125,,,,533,,
Categories,6-8 SCH,153,,43,,14,,,,210,,
,9-11 SCH,333,,770,,530,,,,1633,,
,12-14 SCH,4339,,93,,23,,,,4455,,
,15-17 SCH,1963,,4,,1,,,,1968,,
,>17 SCH,118,,,,1,,,,119,,
Ft/Pt: 12,Full-time,6420,,867,,555,,,,7842,,
and 9,Part-time,750,,187,,139,,,,1076,,
"Prepared by OISP, 10 Apr 00",,,,,,,,,,,,
