Demographic Summary by Entry Status,,,,,,
Spring 2000,,,,,,
Spring 2000,,"First Time in
College","First Time
Graduate",UG Transfer,UG ReAdmit,
Head Count,Total,165,414,792,309,
Gender,Male,94,254,412,188,
,Female,71,160,380,121,
Ethnic Origin,White,121,183,644,249,
,Black,3,7,7,10,
,Hispanic,11,15,56,37,
,Asian,9,8,23,5,
,American Indian,,1,4,,
,International,21,199,36,3,
,Unknown/Other,,1,22,5,
TAMU Age,<18,3,,,,
Categories,18-21,155,3,467,84,
,22-25,6,186,228,164,
,26-30,1,120,56,43,
,31-39,,78,28,12,
,40+,,27,13,6,
College,Agriculture,16,67,221,62,
,Architecture,2,24,23,9,
,Business Admin,15,27,24,30,
,Education,8,70,103,17,
,Engineering,27,177,123,48,
,Geosciences,1,12,12,3,
,Liberal Arts,24,23,182,62,
,Science,12,9,24,12,
,Veterinary Medicine,12,4,27,4,
,Distance Education,,1,,,
,General Studies,48,,53,62,
Student Level,Lower,165,,462,95,
,Upper,,,330,214,
,Masters,,312,,,
,PhD,,102,,,
Tuition Status,Resident Tuition,128,184,734,297,
,Non-Resident Tuition,33,89,54,11,
,Tuition Exemption/Waiver,4,141,4,1,
Residency Status,TX Resident,132,186,741,296,
,"Non-TX, US Resident",11,29,15,10,
,"Non-TX, Non-US Resident",22,199,36,3,
SCH Categories,< 6 SCH,2,50,23,17,
,6-8 SCH,7,45,43,22,
,9-11 SCH,11,261,54,31,
,12-14 SCH,130,52,576,175,
,15-17 SCH,14,5,92,59,
,>17 SCH,1,1,4,5,
Ft/Pt: 12 and 9,Full-time,145,319,672,239,
,Part-time,20,95,120,70,
"Prepared by OISP, 11 Apr 00",,,,,,
