Spring 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,5312,,325,,368,,,,6005,,
Gender,Male,1988,,161,,208,,,,2357,,
,Female,3324,,164,,160,,,,3648,,
Ethnic,White,4308,,222,,257,,,,4787,,
Origin,Black,156,,10,,7,,,,173,,
,Hispanic,587,,25,,17,,,,629,,
,Asian,108,,9,,8,,,,125,,
,American Indian,27,,1,,1,,,,29,,
,International,41,,45,,72,,,,158,,
,Unknown/Other,85,,13,,6,,,,104,,
TAMU Age,<18,1,,,,,,,,1,,
Categories,18-21,2654,,1,,,,,,2655,,
,22-25,2407,,109,,14,,,,2530,,
,26-30,156,,113,,124,,,,393,,
,31-39,60,,70,,149,,,,279,,
,40+,34,,32,,81,,,,147,,
Enrollment,1st Time in College,24,,,,,,,,24,,
Status,1st Time Graduate,,,17,,6,,,,23,,
,1st Time Transfer,182,,,,,,,,182,,
,Re Admitted,62,,,,,,,,62,,
,Continuing,5044,,308,,362,,,,5714,,
Tuition,Resident Tuition,5049,,160,,166,,,,5375,,
Status,Non-Resident Tuition,144,,50,,54,,,,248,,
,Tuition Exemption/Waiver,119,,115,,148,,,,382,,
Residency,TX Resident,5037,,159,,158,,,,5354,,
Status,"Non-TX, US Resident",231,,121,,138,,,,490,,
,"Non-TX, Non-US Resident",44,,45,,72,,,,161,,
SCH,< 6 SCH,76,,80,,134,,,,290,,
Categories,6-8 SCH,148,,23,,15,,,,186,,
,9-11 SCH,311,,211,,211,,,,733,,
,12-14 SCH,2714,,11,,4,,,,2729,,
,15-17 SCH,1881,,,,4,,,,1885,,
,>17 SCH,182,,,,,,,,182,,
Ft/Pt: 12,Full-time,4777,,222,,219,,,,5218,,
and 9,Part-time,535,,103,,149,,,,787,,
"Prepared by OISP, 10 Apr 00",,,,,,,,,,,,
