Spring 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,1605,,240,,331,,,,2176,,
Gender,Male,692,,149,,232,,,,1073,,
,Female,913,,91,,99,,,,1103,,
Ethnic,White,1215,,120,,126,,,,1461,,
Origin,Black,52,,8,,3,,,,63,,
,Hispanic,190,,6,,11,,,,207,,
,Asian,103,,10,,5,,,,118,,
,American Indian,2,,,,1,,,,3,,
,International,8,,93,,183,,,,284,,
,Unknown/Other,35,,3,,2,,,,40,,
TAMU Age,<18,1,,,,,,,,1,,
Categories,18-21,1033,,3,,,,,,1036,,
,22-25,533,,130,,31,,,,694,,
,26-30,23,,76,,186,,,,285,,
,31-39,9,,21,,103,,,,133,,
,40+,6,,10,,11,,,,27,,
Enrollment,1st Time in College,12,,,,,,,,12,,
Status,1st Time Graduate,,,8,,1,,,,9,,
,1st Time Transfer,24,,,,,,,,24,,
,Re Admitted,12,,,,,,,,12,,
,Continuing,1557,,232,,330,,,,2119,,
Tuition,Resident Tuition,1499,,73,,53,,,,1625,,
Status,Non-Resident Tuition,44,,13,,54,,,,111,,
,Tuition Exemption/Waiver,62,,154,,224,,,,440,,
Residency,TX Resident,1495,,73,,53,,,,1621,,
Status,"Non-TX, US Resident",101,,74,,95,,,,270,,
,"Non-TX, Non-US Resident",9,,93,,183,,,,285,,
SCH,< 6 SCH,15,,17,,37,,,,69,,
Categories,6-8 SCH,29,,5,,4,,,,38,,
,9-11 SCH,53,,156,,276,,,,485,,
,12-14 SCH,914,,61,,13,,,,988,,
,15-17 SCH,561,,1,,1,,,,563,,
,>17 SCH,33,,,,,,,,33,,
Ft/Pt: 12,Full-time,1508,,218,,290,,,,2016,,
and 9,Part-time,97,,22,,41,,,,160,,
"Prepared by OISP, 10 Apr 00",,,,,,,,,,,,
