Spring 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,2759,,,,,,,,2759,,
Gender,Male,1395,,,,,,,,1395,,
,Female,1364,,,,,,,,1364,,
Ethnic,White,2255,,,,,,,,2255,,
Origin,Black,106,,,,,,,,106,,
,Hispanic,264,,,,,,,,264,,
,Asian,77,,,,,,,,77,,
,American Indian,13,,,,,,,,13,,
,International,12,,,,,,,,12,,
,Unknown/Other,32,,,,,,,,32,,
TAMU Age,<18,1,,,,,,,,1,,
Categories,18-21,2606,,,,,,,,2606,,
,22-25,136,,,,,,,,136,,
,26-30,11,,,,,,,,11,,
,31-39,1,,,,,,,,1,,
,40+,4,,,,,,,,4,,
Enrollment,1st Time in College,48,,,,,,,,48,,
Status,1st Time Graduate,,,,,,,,,,,
,1st Time Transfer,53,,,,,,,,53,,
,Re Admitted,62,,,,,,,,62,,
,Continuing,2596,,,,,,,,2596,,
Tuition,Resident Tuition,2639,,,,,,,,2639,,
Status,Non-Resident Tuition,88,,,,,,,,88,,
,Tuition Exemption/Waiver,32,,,,,,,,32,,
Residency,TX Resident,2647,,,,,,,,2647,,
Status,"Non-TX, US Resident",99,,,,,,,,99,,
,"Non-TX, Non-US Resident",13,,,,,,,,13,,
SCH,< 6 SCH,21,,,,,,,,21,,
Categories,6-8 SCH,26,,,,,,,,26,,
,9-11 SCH,71,,,,,,,,71,,
,12-14 SCH,2008,,,,,,,,2008,,
,15-17 SCH,624,,,,,,,,624,,
,>17 SCH,9,,,,,,,,9,,
Ft/Pt: 12,Full-time,2641,,,,,,,,2641,,
and 9,Part-time,118,,,,,,,,118,,
"Prepared by OISP, 10 Apr 00",,,,,,,,,,,,
