Spring 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,33586,,3701,,2846,,493,,40626,,
Gender,Male,17494,,2208,,1820,,162,,21684,,
,Female,16092,,1493,,1026,,331,,18942,,
Ethnic,White,27350,,2095,,1421,,448,,31314,,
Origin,Black,888,,88,,82,,,,1058,,
,Hispanic,3062,,176,,150,,21,,3409,,
,Asian,1110,,90,,49,,18,,1267,,
,American Indian,158,,7,,6,,4,,175,,
,International,513,,1207,,1113,,,,2833,,
,Unknown/Other,505,,38,,25,,2,,570,,
TAMU Age,<18,7,,,,,,,,7,,
Categories,18-21,18736,,6,,,,1,,18743,,
,22-25,13487,,1648,,112,,239,,15486,,
,26-30,892,,1227,,996,,186,,3301,,
,31-39,323,,567,,1105,,61,,2056,,
,40+,141,,253,,633,,6,,1033,,
Enrollment,1st Time in College,165,,,,,,,,165,,
Status,1st Time Graduate,,,312,,102,,,,414,,
,1st Time Transfer,792,,,,,,,,792,,
,Re Admitted,309,,,,,,,,309,,
,Continuing,32320,,3389,,2744,,493,,38946,,
Tuition,Resident Tuition,31659,,1809,,1130,,468,,35066,,
Status,Non-Resident Tuition,1086,,490,,441,,6,,2023,,
,Tuition Exemption/Waiver,841,,1402,,1275,,19,,3537,,
Residency,TX Resident,31584,,1836,,1098,,457,,34975,,
Status,"Non-TX, US Resident",1467,,653,,632,,36,,2788,,
,"Non-TX, Non-US Resident",535,,1212,,1116,,,,2863,,
SCH,< 6 SCH,587,,624,,802,,,,2013,,
Categories,6-8 SCH,895,,261,,134,,,,1290,,
,9-11 SCH,1638,,1991,,1762,,,,5391,,
,12-14 SCH,19151,,641,,123,,,,19915,,
,15-17 SCH,10496,,168,,21,,35,,10720,,
,>17 SCH,819,,16,,4,,458,,1297,,
Ft/Pt: 12,Full-time,30466,,2816,,1910,,493,,35685,,
and 9,Part-time,3120,,885,,936,,,,4941,,
"Prepared by OISP, 10 Apr 00",,,,,,,,,,,,
