Spring 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,4718,,599,,472,,,,5789,,
Gender,Male,2495,,304,,302,,,,3101,,
,Female,2223,,295,,170,,,,2688,,
Ethnic,White,4042,,448,,260,,,,4750,,
Origin,Black,109,,3,,3,,,,115,,
,Hispanic,314,,25,,17,,,,356,,
,Asian,73,,11,,7,,,,91,,
,American Indian,19,,1,,,,,,20,,
,International,68,,109,,177,,,,354,,
,Unknown/Other,93,,2,,8,,,,103,,
TAMU Age,<18,1,,,,,,,,1,,
Categories,18-21,2068,,1,,,,,,2069,,
,22-25,2384,,293,,19,,,,2696,,
,26-30,181,,196,,178,,,,555,,
,31-39,57,,79,,193,,,,329,,
,40+,27,,30,,82,,,,139,,
Enrollment,1st Time in College,16,,,,,,,,16,,
Status,1st Time Graduate,,,50,,17,,,,67,,
,1st Time Transfer,221,,,,,,,,221,,
,Re Admitted,62,,,,,,,,62,,
,Continuing,4419,,549,,455,,,,5423,,
Tuition,Resident Tuition,4448,,342,,162,,,,4952,,
Status,Non-Resident Tuition,146,,74,,93,,,,313,,
,Tuition Exemption/Waiver,124,,183,,217,,,,524,,
Residency,TX Resident,4439,,346,,159,,,,4944,,
Status,"Non-TX, US Resident",211,,144,,134,,,,489,,
,"Non-TX, Non-US Resident",68,,109,,179,,,,356,,
SCH,< 6 SCH,78,,138,,118,,,,334,,
Categories,6-8 SCH,168,,32,,19,,,,219,,
,9-11 SCH,239,,382,,319,,,,940,,
,12-14 SCH,2524,,44,,14,,,,2582,,
,15-17 SCH,1539,,2,,2,,,,1543,,
,>17 SCH,170,,1,,,,,,171,,
Ft/Pt: 12,Full-time,4233,,429,,335,,,,4997,,
and 9,Part-time,485,,170,,137,,,,792,,
"Prepared by OISP, 10 Apr 00",,,,,,,,,,,,
