Spring 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,2647,,411,,618,,,,3676,,
Gender,Male,530,,115,,233,,,,878,,
,Female,2117,,296,,385,,,,2798,,
Ethnic,White,2321,,291,,443,,,,3055,,
Origin,Black,48,,40,,55,,,,143,,
,Hispanic,214,,38,,81,,,,333,,
,Asian,22,,6,,5,,,,33,,
,American Indian,15,,3,,3,,,,21,,
,International,4,,28,,25,,,,57,,
,Unknown/Other,23,,5,,6,,,,34,,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,1204,,,,,,,,1204,,
,22-25,1322,,127,,11,,,,1460,,
,26-30,84,,100,,100,,,,284,,
,31-39,29,,87,,178,,,,294,,
,40+,8,,97,,329,,,,434,,
Enrollment,1st Time in College,8,,,,,,,,8,,
Status,1st Time Graduate,,,41,,29,,,,70,,
,1st Time Transfer,103,,,,,,,,103,,
,Re Admitted,17,,,,,,,,17,,
,Continuing,2519,,370,,589,,,,3478,,
Tuition,Resident Tuition,2590,,354,,524,,,,3468,,
Status,Non-Resident Tuition,38,,21,,28,,,,87,,
,Tuition Exemption/Waiver,19,,36,,66,,,,121,,
Residency,TX Resident,2576,,353,,519,,,,3448,,
Status,"Non-TX, US Resident",66,,30,,74,,,,170,,
,"Non-TX, Non-US Resident",5,,28,,25,,,,58,,
SCH,< 6 SCH,34,,147,,300,,,,481,,
Categories,6-8 SCH,158,,102,,76,,,,336,,
,9-11 SCH,221,,120,,185,,,,526,,
,12-14 SCH,1307,,38,,45,,,,1390,,
,15-17 SCH,810,,4,,9,,,,823,,
,>17 SCH,117,,,,3,,,,120,,
Ft/Pt: 12,Full-time,2234,,162,,242,,,,2638,,
and 9,Part-time,413,,249,,376,,,,1038,,
"Prepared by OISP, 10 Apr 00",,,,,,,,,,,,
