Graduate Students,,,,,,,
Spring 2000,,,,,,,
Spring 2000,,"G6:
Non-Degreed PB","G7:
Masters","G8:
Doctoral","G9:
Probationary GR","GRAND
Total",
Head Count,Total,249,3421,2846,31,6547,
Gender,Male,86,2101,1820,21,4028,
,Female,163,1320,1026,10,2519,
,White,139,1948,1421,8,3516,
,Black,33,55,82,,170,
,Hispanic,19,156,150,1,326,
,Asian,6,84,49,,139,
,American Indian,,7,6,,13,
,International,48,1137,1113,22,2320,
,Unknown/Other,4,34,25,,63,
TAMU Age,18-21,,6,,,6,
Categories,22-25,49,1587,112,12,1760,
,26-30,59,1160,996,8,2223,
,31-39,63,495,1105,9,1672,
,40+,78,173,633,2,886,
College,Agriculture,20,578,472,1,1071,
,Architecture,4,233,70,,307,
,Business Admin,11,563,81,1,656,
,Education,125,285,618,1,1029,
,Engineering,41,996,694,17,1748,
,Geosciences,13,155,119,1,288,
,Liberal Arts,18,305,368,2,693,
,Science,9,223,331,8,571,
,Veterinary Medicine,6,39,93,,138,
,Distance Education,2,2,,,4,
,G. Bush School of Govt,,42,,,42,
Enrollment,1st Time Graduate,1,303,102,8,414,
Status,Continuing,248,3118,2744,23,6133,
Tuition,Resident Tuition,182,1622,1130,5,2939,
Status,Non-Resident Tuition,31,455,441,4,931,
,Tuition Exemption/Waiver,36,1344,1275,22,2677,
Residency,TX Resident,186,1645,1098,5,2934,
Status,"Non-TX, US Resident",15,634,632,4,1285,
,"Non-TX, Non-US Resident",48,1142,1116,22,2328,
SCH,< 6 SCH,132,491,802,1,1426,
Categories,6-8 SCH,53,205,134,3,395,
,9-11 SCH,48,1923,1762,20,3753,
,12-14 SCH,7,629,123,5,764,
,15-17 SCH,7,159,21,2,189,
,>17 SCH,2,14,4,,20,
Ft/Pt:  12,Full-time,64,2725,1910,27,4726,
and 9,Part-time,185,696,936,4,1821,
"Prepared by OISP, 10 Apr 00",,,,,,,
