Spring 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,386,,169,,119,,,,674,,
Gender,Male,208,,107,,89,,,,404,,
,Female,178,,62,,30,,,,270,,
Ethnic,White,338,,121,,54,,,,513,,
Origin,Black,4,,1,,1,,,,6,,
,Hispanic,30,,5,,3,,,,38,,
,Asian,2,,4,,1,,,,7,,
,American Indian,3,,,,,,,,3,,
,International,5,,34,,60,,,,99,,
,Unknown/Other,4,,4,,,,,,8,,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,176,,,,,,,,176,,
,22-25,171,,62,,3,,,,236,,
,26-30,26,,75,,37,,,,138,,
,31-39,10,,28,,59,,,,97,,
,40+,3,,4,,20,,,,27,,
Enrollment,1st Time in College,1,,,,,,,,1,,
Status,1st Time Graduate,,,9,,3,,,,12,,
,1st Time Transfer,12,,,,,,,,12,,
,Re Admitted,3,,,,,,,,3,,
,Continuing,370,,160,,116,,,,646,,
Tuition,Resident Tuition,359,,64,,20,,,,443,,
Status,Non-Resident Tuition,12,,22,,26,,,,60,,
,Tuition Exemption/Waiver,15,,83,,73,,,,171,,
Residency,TX Resident,359,,67,,19,,,,445,,
Status,"Non-TX, US Resident",21,,68,,40,,,,129,,
,"Non-TX, Non-US Resident",6,,34,,60,,,,100,,
SCH,< 6 SCH,4,,34,,30,,,,68,,
Categories,6-8 SCH,12,,5,,1,,,,18,,
,9-11 SCH,19,,95,,84,,,,198,,
,12-14 SCH,214,,28,,4,,,,246,,
,15-17 SCH,132,,5,,,,,,137,,
,>17 SCH,5,,2,,,,,,7,,
Ft/Pt: 12,Full-time,351,,130,,88,,,,569,,
and 9,Part-time,35,,39,,31,,,,105,,
"Prepared by OISP, 10 Apr 00",,,,,,,,,,,,
