Spring 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,1400,,237,,70,,,,1707,,
Gender,Male,969,,155,,54,,,,1178,,
,Female,431,,82,,16,,,,529,,
Ethnic,White,1152,,138,,30,,,,1320,,
Origin,Black,17,,4,,2,,,,23,,
,Hispanic,150,,12,,2,,,,164,,
,Asian,25,,9,,2,,,,36,,
,American Indian,5,,,,,,,,5,,
,International,19,,71,,34,,,,124,,
,Unknown/Other,32,,3,,,,,,35,,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,655,,,,,,,,655,,
,22-25,686,,76,,1,,,,763,,
,26-30,39,,109,,15,,,,163,,
,31-39,15,,35,,33,,,,83,,
,40+,5,,17,,21,,,,43,,
Enrollment,1st Time in College,2,,,,,,,,2,,
Status,1st Time Graduate,,,19,,5,,,,24,,
,1st Time Transfer,23,,,,,,,,23,,
,Re Admitted,9,,,,,,,,9,,
,Continuing,1366,,218,,65,,,,1649,,
Tuition,Resident Tuition,1314,,129,,27,,,,1470,,
Status,Non-Resident Tuition,48,,44,,20,,,,112,,
,Tuition Exemption/Waiver,38,,64,,23,,,,125,,
Residency,TX Resident,1312,,131,,20,,,,1463,,
Status,"Non-TX, US Resident",67,,34,,16,,,,117,,
,"Non-TX, Non-US Resident",21,,72,,34,,,,127,,
SCH,< 6 SCH,22,,30,,25,,,,77,,
Categories,6-8 SCH,35,,12,,1,,,,48,,
,9-11 SCH,66,,86,,39,,,,191,,
,12-14 SCH,789,,91,,4,,,,884,,
,15-17 SCH,445,,13,,1,,,,459,,
,>17 SCH,43,,5,,,,,,48,,
Ft/Pt: 12,Full-time,1277,,195,,44,,,,1516,,
and 9,Part-time,123,,42,,26,,,,191,,
"Prepared by OISP, 10 Apr 00",,,,,,,,,,,,
