Spring 2000,,Resident Tuition,,Non-Resident Tuition,,Tuition Exemption/Waiver,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,
General Studies,TX Resident,2637,,7,,3,,2647,,
,"Non-TX, US Resident",2,,69,,28,,99,,
,"Non-TX, Non-US Resident",,,12,,1,,13,,
,Sub-Total,2639,,88,,32,,2759,,
G. Bush School of,TX Resident,21,,,,1,,22,,
Govt,"Non-TX, US Resident",,,,,18,,18,,
,"Non-TX, Non-US Resident",,,,,2,,2,,
,Sub-Total,21,,,,21,,42,,
Total,TX Resident,34778,,76,,121,,34975,,
,"Non-TX, US Resident",288,,871,,1629,,2788,,
,"Non-TX, Non-US Resident",,,1076,,1787,,2863,,
GRAND Total,,35066,,2023,,3537,,40626,,
"Prepared by OISP, 10 Apr 00",,,,,,,,,,
