Spring 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,5625,,575,,81,,,,6281,,
Gender,Male,2804,,346,,50,,,,3200,,
,Female,2821,,229,,31,,,,3081,,
Ethnic,White,4751,,417,,41,,,,5209,,
Origin,Black,115,,6,,5,,,,126,,
,Hispanic,421,,32,,5,,,,458,,
,Asian,152,,12,,2,,,,166,,
,American Indian,23,,2,,1,,,,26,,
,International,91,,101,,26,,,,218,,
,Unknown/Other,72,,5,,1,,,,78,,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,3082,,,,,,,,3082,,
,22-25,2388,,297,,2,,,,2687,,
,26-30,93,,146,,20,,,,259,,
,31-39,41,,98,,36,,,,175,,
,40+,21,,34,,23,,,,78,,
Enrollment,1st Time in College,15,,,,,,,,15,,
Status,1st Time Graduate,,,25,,2,,,,27,,
,1st Time Transfer,24,,,,,,,,24,,
,Re Admitted,30,,,,,,,,30,,
,Continuing,5556,,550,,79,,,,6185,,
Tuition,Resident Tuition,5372,,402,,31,,,,5805,,
Status,Non-Resident Tuition,165,,37,,10,,,,212,,
,Tuition Exemption/Waiver,88,,136,,40,,,,264,,
Residency,TX Resident,5354,,413,,29,,,,5796,,
Status,"Non-TX, US Resident",178,,60,,26,,,,264,,
,"Non-TX, Non-US Resident",93,,102,,26,,,,221,,
SCH,< 6 SCH,58,,16,,16,,,,90,,
Categories,6-8 SCH,131,,31,,1,,,,163,,
,9-11 SCH,247,,151,,49,,,,447,,
,12-14 SCH,3142,,231,,13,,,,3386,,
,15-17 SCH,1942,,138,,2,,,,2082,,
,>17 SCH,105,,8,,,,,,113,,
Ft/Pt: 12,Full-time,5189,,528,,64,,,,5781,,
and 9,Part-time,436,,47,,17,,,,500,,
"Prepared by OISP, 10 Apr 00",,,,,,,,,,,,
