Spring 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,4,,,,,,4,,
Gender,Male,,,3,,,,,,3,,
,Female,,,1,,,,,,1,,
Ethnic,White,,,3,,,,,,3,,
Origin,Black,,,1,,,,,,1,,
,Hispanic,,,,,,,,,,,
,Asian,,,,,,,,,,,
,American Indian,,,,,,,,,,,
,International,,,,,,,,,,,
,Unknown/Other,,,,,,,,,,,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,,,,,,,,,
,22-25,,,,,,,,,,,
,26-30,,,2,,,,,,2,,
,31-39,,,,,,,,,,,
,40+,,,2,,,,,,2,,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time Graduate,,,1,,,,,,1,,
,1st Time Transfer,,,,,,,,,,,
,Re Admitted,,,,,,,,,,,
,Continuing,,,3,,,,,,3,,
Tuition,Resident Tuition,,,4,,,,,,4,,
Status,Non-Resident Tuition,,,,,,,,,,,
,Tuition Exemption/Waiver,,,,,,,,,,,
Residency,TX Resident,,,4,,,,,,4,,
Status,"Non-TX, US Resident",,,,,,,,,,,
,"Non-TX, Non-US Resident",,,,,,,,,,,
SCH,< 6 SCH,,,1,,,,,,1,,
Categories,6-8 SCH,,,3,,,,,,3,,
,9-11 SCH,,,,,,,,,,,
,12-14 SCH,,,,,,,,,,,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
Ft/Pt: 12,Full-time,,,,,,,,,,,
and 9,Part-time,,,4,,,,,,4,,
"Prepared by OISP, 10 Apr 00",,,,,,,,,,,,
