Spring 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,42,,,,,,42,,
Gender,Male,,,20,,,,,,20,,
,Female,,,22,,,,,,22,,
Ethnic,White,,,29,,,,,,29,,
Origin,Black,,,5,,,,,,5,,
,Hispanic,,,4,,,,,,4,,
,Asian,,,2,,,,,,2,,
,American Indian,,,,,,,,,,,
,International,,,2,,,,,,2,,
,Unknown/Other,,,,,,,,,,,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,,,,,,,,,
,22-25,,,28,,,,,,28,,
,26-30,,,13,,,,,,13,,
,31-39,,,1,,,,,,1,,
,40+,,,,,,,,,,,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time Graduate,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Re Admitted,,,,,,,,,,,
,Continuing,,,42,,,,,,42,,
Tuition,Resident Tuition,,,21,,,,,,21,,
Status,Non-Resident Tuition,,,,,,,,,,,
,Tuition Exemption/Waiver,,,21,,,,,,21,,
Residency,TX Resident,,,22,,,,,,22,,
Status,"Non-TX, US Resident",,,18,,,,,,18,,
,"Non-TX, Non-US Resident",,,2,,,,,,2,,
SCH,< 6 SCH,,,,,,,,,,,
Categories,6-8 SCH,,,,,,,,,,,
,9-11 SCH,,,1,,,,,,1,,
,12-14 SCH,,,41,,,,,,41,,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
Ft/Pt: 12,Full-time,,,42,,,,,,42,,
and 9,Part-time,,,,,,,,,,,
"Prepared by OISP, 10 Apr 00",,,,,,,,,,,,
