Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students (College Station),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2013,White Only,,,American Indian Only,,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,Native Hawaii Only,,2 or More/Excludin g Black,,,International,,,Unknown or Not Reported,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,71,90,161,,,,1,2,3,2,8,10,53,48,101,1,1,5,2,7,1,,1,,,,133,151,284,
TAMU Age                <18,1,1,2,,,,,,,,,,1,,1,,,,,,,,,,,,2,1,3,
18-21,70,89,159,,,,1,2,3,2,8,10,52,48,100,1,1,5,2,7,1,,1,,,,131,150,281,
22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification/Deg  Freshman,65,83,148,,,,1,2,3,2,8,10,50,42,92,1,1,5,2,7,1,,1,,,,124,138,262,
"ree Objective
Sophomore",5,7,12,,,,,,,,,,3,4,7,,,,,,,,,,,,8,11,19,
Junior,1,,1,,,,,,,,,,,2,2,,,,,,,,,,,,1,2,3,
Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status          Resident Tuition,69,87,156,,,,1,2,3,2,8,10,53,46,99,1,1,5,2,7,,,,,,,130,146,276,
Non-Resident Tuition,1,1,2,,,,,,,,,,,1,1,,,,,,,,,,,,1,2,3,
Tuition Exemption/Waiver,1,2,3,,,,,,,,,,,1,1,,,,,,1,,1,,,,2,3,5,
Residency Status     Texas Resident,69,87,156,,,,1,2,3,2,8,10,53,46,99,1,1,5,2,7,,,,,,,130,146,276,
"Non-TX, US Resident",2,3,5,,,,,,,,,,,2,2,,,,,,,,,,,,2,5,7,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,1,
SCH Categories       < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,43,35,78,,,,,,,,2,2,30,23,53,,,3,1,4,,,,,,,76,61,137,
15-17 SCH,28,55,83,,,,1,2,3,2,6,8,23,25,48,1,1,2,1,3,1,,1,,,,57,90,147,
>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU           Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Status
Half-Time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-Time,71,90,161,,,,1,2,3,2,8,10,53,48,101,1,1,5,2,7,1,,1,,,,133,151,284,
Top 10% Texas         No,26,40,66,,,,,1,1,,2,2,6,10,16,,,2,1,3,1,,1,,,,35,54,89,
Yes,45,50,95,,,,1,1,2,2,6,8,47,38,85,1,1,3,1,4,,,,,,,98,97,195,
First Generation      No,60,69,129,,,,,,,1,3,4,15,12,27,1,1,3,2,5,,,,,,,79,87,166,
Unknown,1,7,8,,,,,2,2,,,,2,5,7,,,1,,1,1,,1,,,,5,14,19,
Yes,10,14,24,,,,1,,1,1,5,6,36,31,67,,,1,,1,,,,,,,49,50,99,
Dorm / Off-              Off-campus,27,36,63,,,,,1,1,,2,2,19,7,26,1,1,2,1,3,,,,,,,48,48,96,
"campus students
Dorm (On-campus)",44,54,98,,,,1,1,2,2,6,8,34,41,75,,,3,1,4,1,,1,,,,85,103,188,
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 30 Oct 13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
