Demographic Summary for BLINN/TMEN Students,,,,,
(College Station),,,,,
Major Total,,,,,
Fall 2013,U1: Freshmen,U2: Sophomore,U3: Junior,Total,
Gender                          Total,"1,273",450,12,"1,735",
Female,599,219,6,824,
Male,674,231,6,911,
Ethnicity                       White Only,928,350,7,"1,285",
American Indian Only,5,2,,7,
Asian Only,51,16,1,68,
Black Only + 2 or more/1 Black,19,13,,32,
Hispanic or Latino of any Race,226,61,4,291,
Native Hawaii Only,,,,,
2 or More/Excluding Black,44,7,,51,
International,,,,,
Unknown or Not Reported,,1,,1,
TAMU Age                    <18,4,,,4,
Categories                    18-21,"1,268",450,12,"1,730",
22-25,1,,,1,
26-30,,,,,
Enrollment Status      1st Time in College,"1,164",13,,"1,177",
1st Time Transfer,,,,,
Readmitted,1,,,1,
Continuing,108,437,12,557,
Tuition Status              Resident Tuition,"1,220",435,12,"1,667",
Non-Resident Tuition,28,7,,35,
Tuition Exemption/Waiver,25,8,,33,
Residency Status        Texas Resident,"1,224",435,12,"1,671",
"Non-TX, US Resident",47,14,,61,
"Non-TX, Non-US Resident",2,1,,3,
Ft/Pt: TAMU Status  Not Enrolled,,,,,
Less Than Half Time,"1,212",389,4,"1,605",
Half-Time,61,61,5,127,
Three-Quarter Time,,,,,
Full-Time,,,3,3,
SCH Categories           < 6 SCH,"1,212",389,4,"1,605",
6-8 SCH,61,61,5,127,
9-11 SCH,,,,,
12-14 SCH,,,3,3,
First Generation          No,953,337,7,"1,297",
Unknown,49,6,,55,
Yes,271,107,5,383,
"Prepared by DARS, 11/22/2013 ",,,,,
