Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2013,White Only,,,American Indian Only,,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,Native Hawaii Only,,2 or More/Excluding Black,,,International,,,Unknown or Not Reported,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,30,33,63,1,,1,4,3,7,3,1,4,8,16,24,,,1,2,3,5,3,8,,,,52,58,110,
TAMU Age               <18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-21,24,29,53,1,,1,4,3,7,2,,2,8,16,24,,,1,1,2,2,3,5,,,,42,52,94,
22-25,4,3,7,,,,,,,1,1,2,,,,,,,1,1,3,,3,,,,8,5,13,
26-30,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
31-39,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
40+,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
Classification/Deg  Freshman,3,,3,,,,,1,1,,,,,2,2,,,,,,,,,,,,3,3,6,
Sophomore,9,17,26,1,,1,3,2,5,1,,1,3,9,12,,,1,1,2,1,,1,,,,19,29,48,
Junior,17,14,31,,,,1,,1,2,1,3,5,4,9,,,,1,1,3,2,5,,,,28,22,50,
Senior,1,2,3,,,,,,,,,,,1,1,,,,,,1,1,2,,,,2,4,6,
Tuition Status          Resident Tuition,29,33,62,1,,1,4,3,7,2,1,3,8,15,23,,,1,2,3,,,,,,,45,54,99,
Non-Resident Tuition,1,,1,,,,,,,1,,1,,1,1,,,,,,2,3,5,,,,4,4,8,
Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,3,,3,,,,3,,3,
Residency Status    Texas Resident,29,33,62,1,,1,4,3,7,3,1,4,8,16,24,,,1,2,3,,,,,,,46,55,101,
"Non-TX, US Resident",1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,5,3,8,,,,5,3,8,
SCH Categories       < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
9-11 SCH,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
12-14 SCH,20,21,41,1,,1,1,2,3,2,,2,6,11,17,,,1,2,3,2,2,4,,,,33,38,71,
15-17 SCH,9,10,19,,,,3,1,4,1,1,2,2,5,7,,,,,,1,,1,,,,16,17,33,
>17 SCH,,,,,,,,,,,,,,,,,,,,,2,1,3,,,,2,1,3,
Ft/Pt:  TAMU          Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Half-Time,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,
Full-Time,29,31,60,1,,1,4,3,7,3,1,4,8,16,24,,,1,2,3,5,3,8,,,,51,56,107,
Top 10% Texas        No,20,26,46,,,,3,3,6,3,1,4,6,12,18,,,1,2,3,5,3,8,,,,38,47,85,
"High School
Yes",10,7,17,1,,1,1,,1,,,,2,4,6,,,,,,,,,,,,14,11,25,
First Generation     No,19,27,46,1,,1,4,2,6,2,,2,6,10,16,,,1,,1,,,,,,,33,39,72,
Unknown,2,3,5,,,,,,,,,,,,,,,,1,1,5,3,8,,,,7,7,14,
Yes,9,3,12,,,,,1,1,1,1,2,2,6,8,,,,1,1,,,,,,,12,12,24,
Dorm / Off-             Off-campus,30,31,61,1,,1,4,2,6,3,1,4,7,14,21,,,1,2,3,5,3,8,,,,51,53,104,
Dorm (On-campus),,2,2,,,,,1,1,,,,1,2,3,,,,,,,,,,,,1,5,6,
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ree Objective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campus students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 30 Oct 13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
