Headcount by Major by Ethnic Origin by Gender,,,,,,,,,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,,,,,,,,,
Fall 2013,White Only,,American Indian Only,,Asian Only,,Black Only + 2 or more/1 Black,,Hispanic or Latino of any Race,,Native Hawaii Only,,"2 or
More/Excluding Black",,International,,Unknown or Not Reported,,Total,,Total,
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Science                  ANLY,3,5,,,,,2,,,,,,,,,,,1,5,6,11,
APHY,,7,1,,,,,,1,1,,,,,,1,,,2,9,11,
APMS,38,93,,,10,16,4,4,17,42,,,3,3,3,4,,2,75,164,239,
BIOL,386,293,3,4,108,98,53,17,243,137,1,1,26,15,30,18,,1,850,584,"1,434",
BMCB,27,31,,,9,6,,2,6,18,,,1,1,2,,,1,45,59,104,
BOTN,1,,,,,,,,,,,,,,,,,,1,,1,
CHEM,116,163,1,1,34,33,9,11,41,50,,,5,5,53,90,3,2,262,355,617,
GENE,,1,,,,,,,,,,,,,,,,,,1,1,
MATH,117,119,,,10,15,8,10,55,77,1,,4,7,33,59,,2,228,289,517,
MBIO,37,23,,,3,3,2,1,13,11,,,4,2,6,2,,,65,42,107,
MEPS,,,,,,,,,,,,,,,,1,,,,1,1,
MSEN,1,,,,,,,,,,,,,1,,,,,1,1,2,
NRSC,,4,,,,,,,1,,,,,,1,,,,2,4,6,
PHYS,29,203,1,1,3,24,1,7,19,61,,,2,12,11,96,1,6,67,410,477,
STAT,17,62,,,11,8,,3,1,7,,,1,,20,28,1,3,51,111,162,
USSC,12,9,,,,1,,2,4,6,,,,,,,,,16,18,34,
ZOOL,47,8,,1,2,1,5,1,9,8,,,2,1,1,,,,66,20,86,
Subtotal,831,"1,021",6,7,190,205,84,58,410,418,2,1,48,47,160,299,5,18,"1,736","2,074","3,810",
Veterinary            BIMS,809,347,2,,126,79,70,13,331,125,,,41,16,17,18,3,2,"1,399",600,"1,999",
Medicine              BIOT,,,,,,,,,,,,,,,1,1,,,1,1,2,
EPID,1,,,,,,,,,,,,,,,,,,1,,1,
GENE,4,3,,,,,,,1,,,,,,1,,,,6,3,9,
LAMD,3,,,,,,,,,,,,,,,,,,3,,3,
STJR,7,,,,,,,,1,,,,1,,,,,,9,,9,
TOXI,4,4,,,,1,1,,,1,,,,,2,1,,,7,7,14,
USVM,2,1,,,,,1,,8,3,,,,1,,,,,11,5,16,
VPAT,9,,,,1,,,,,1,,,1,,,2,,,11,3,14,
VTMD,348,103,2,1,16,2,2,2,26,11,,,2,2,,,8,2,404,123,527,
VTMI,4,2,,,,,1,,1,,,,,,3,2,,,9,4,13,
VTPB,2,,,,1,,,,,,,,,,1,,1,,5,,5,
VTPH,2,1,,,,,,,,,,,,,,,,,2,1,3,
Subtotal,"1,195",461,4,1,144,82,75,15,368,141,,,45,19,25,24,12,4,"1,868",747,"2,615",
General Studies  GEST,293,316,1,1,28,29,24,20,134,145,,1,13,13,,4,1,2,494,531,"1,025",
TEAM,598,610,2,3,30,37,19,12,128,136,,,25,20,,,1,,803,818,"1,621",
TMEN,14,63,,2,1,,,1,6,21,,,,6,,,,,21,93,114,
Subtotal,905,989,3,6,59,66,43,33,268,302,,1,38,39,,4,2,2,"1,318","1,442","2,760",
Other - Special    MARB,1,,,,,,,,1,,,,,,,,,,2,,2,
Populations         MARM,4,,,,,,,,1,,,,,,,,,,5,,5,
MARS,1,,,,,,,,,,,,,,,,,,1,,1,
MDSC,1,1,,,1,1,,,,,,,,,1,,,,3,2,5,
PHLT,4,,,,,,1,,2,,,,,1,3,,2,3,12,4,16,
REEP,1,,,,,,,,,1,,,,,40,63,,2,41,66,107,
Subtotal,12,1,,,1,1,1,,4,1,,,,1,44,63,2,5,64,72,136,
Total,"15,831","16,943",63,73,"1,097","1,437",952,796,"4,653","4,588",11,31,524,582,"1,553","3,052",105,158,"24,789","27,660","52,449",
"Prepared by DARS, 04 Dec 13",,,,,,,,,,,,,,,,,,,,,,
