Headcount by Major by Ethnic Origin,,,,,,,,,,,
(College Station),,,,,,,,,,,
Fall 2013,White Only,American Indian Only,Asian Only,Black Only + 2 or more/1 Black,Hispanic or Latino of any Race,Native Hawaii Only,"2 or
More/Excluding Black",International,Unknown or Not Reported,Total,
Science                 ANLY,8,,,2,,,,,1,11,
APHY,7,1,,,2,,,1,,11,
APMS,131,,26,8,59,,6,7,2,239,
BIOL,679,7,206,70,380,2,41,48,1,"1,434",
BMCB,58,,15,2,24,,2,2,1,104,
BOTN,1,,,,,,,,,1,
CHEM,279,2,67,20,91,,10,143,5,617,
GENE,1,,,,,,,,,1,
MATH,236,,25,18,132,1,11,92,2,517,
MBIO,60,,6,3,24,,6,8,,107,
MEPS,,,,,,,,1,,1,
MSEN,1,,,,,,1,,,2,
NRSC,4,,,,1,,,1,,6,
PHYS,232,2,27,8,80,,14,107,7,477,
STAT,79,,19,3,8,,1,48,4,162,
USSC,21,,1,2,10,,,,,34,
ZOOL,55,1,3,6,17,,3,1,,86,
Subtotal,"1,852",13,395,142,828,3,95,459,23,"3,810",
Veterinary           BIMS,"1,156",2,205,83,456,,57,35,5,"1,999",
Medicine              BIOT,,,,,,,,2,,2,
EPID,1,,,,,,,,,1,
GENE,7,,,,1,,,1,,9,
LAMD,3,,,,,,,,,3,
STJR,7,,,,1,,1,,,9,
TOXI,8,,1,1,1,,,3,,14,
USVM,3,,,1,11,,1,,,16,
VPAT,9,,1,,1,,1,2,,14,
VTMD,451,3,18,4,37,,4,,10,527,
VTMI,6,,,1,1,,,5,,13,
VTPB,2,,1,,,,,1,1,5,
VTPH,3,,,,,,,,,3,
Subtotal,"1,656",5,226,90,509,,64,49,16,"2,615",
General Studies  GEST,609,2,57,44,279,1,26,4,3,"1,025",
TEAM,"1,208",5,67,31,264,,45,,1,"1,621",
TMEN,77,2,1,1,27,,6,,,114,
Subtotal,"1,894",9,125,76,570,1,77,4,4,"2,760",
Other - Special    MARB,1,,,,1,,,,,2,
Populations         MARM,4,,,,1,,,,,5,
MARS,1,,,,,,,,,1,
MDSC,2,,2,,,,,1,,5,
PHLT,4,,,1,2,,1,3,5,16,
REEP,1,,,,1,,,103,2,107,
Subtotal,13,,2,1,5,,1,107,7,136,
Total,32774,136,2534,1748,9241,42,1106,4605,263,52449,
"Prepared by DARS, 04 Dec 13",,,,,,,,,,,
