Headcount by Department by Ethnic Origin by Gender,,,,,,,,,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,,,,,,,,,
Fall 2013,White Only,,American Indian Only,,Asian Only,,Black Only + 2 or more/1 Black,,Hispanic or Latino of any Race,,Native Hawaii Only,,2 or More/Excluding Black,,International,,Unknown or Not Reported,,Total,,Total,
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Science                BIOL,498,360,3,5,122,108,60,21,272,174,1,1,33,19,40,21,,2,"1,029",711,"1,740",
CHEM,117,163,1,1,34,33,9,11,41,50,,,5,5,53,90,3,2,263,355,618,
CLSC,12,9,,,,1,,2,4,6,,,,,,,,,16,18,34,
MATH,155,212,,,20,31,12,14,72,119,1,,7,10,36,63,,4,303,453,756,
PHYS,29,210,2,1,3,24,1,7,20,62,,,2,13,11,97,1,6,69,420,489,
STAT,20,67,,,11,8,2,3,1,7,,,1,,20,28,1,4,56,117,173,
Subtotal,831,"1,021",6,7,190,205,84,58,410,418,2,1,48,47,160,299,5,18,"1,736","2,074","3,810",
Veterinary          CLVM,"1,126",435,4,1,141,76,73,13,361,136,,,42,18,4,2,10,4,"1,761",685,"2,446",
Medicine             VIBS,26,10,,,1,4,,1,2,1,,,1,1,6,10,1,,37,27,64,
VLCS,11,3,,,,,,,1,,,,,,2,,,,14,3,17,
VSCS,4,3,,,,,,,,2,,,,,2,5,,,6,10,16,
VTPB,22,3,,,2,,1,1,3,1,,,1,,5,4,1,,35,9,44,
VTPP,6,7,,,,2,1,,1,1,,,1,,6,3,,,15,13,28,
Subtotal,"1,195",461,4,1,144,82,75,15,368,141,,,45,19,25,24,12,4,"1,868",747,"2,615",
General               GEST,905,989,3,6,59,66,43,33,268,302,,1,38,39,,4,2,2,"1,318","1,442","2,760",
Studies                Subtotal,905,989,3,6,59,66,43,33,268,302,,1,38,39,,4,2,2,"1,318","1,442","2,760",
Other - Special  CLMD,1,1,,,1,1,,,,,,,,,1,,,,3,2,5,
Populations        MARB,1,,,,,,,,1,,,,,,,,,,2,,2,
MARS,5,,,,,,,,1,,,,,,,,,,6,,6,
SABX,1,,,,,,,,,1,,,,,40,63,,2,41,66,107,
SRPH,4,,,,,,1,,2,,,,,1,3,,2,3,12,4,16,
Subtotal,12,1,,,1,1,1,,4,1,,,,1,44,63,2,5,64,72,136,
Total,"15,831","16,943",63,73,"1,097","1,437",952,796,"4,653","4,588",11,31,524,582,"1,553","3,052",105,158,"24,789","27,660","52,449",
"Prepared by DARS, 04 Dec 13",,,,,,,,,,,,,,,,,,,,,,
