Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students (College Station),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Veterinary Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2013,White Only,,,American Indian Only,,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,Native Hawaii Only,,2 or More/Excludin g Black,,,International,,,Unknown or Not Reported,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,279,98,377,1,,1,50,25,75,32,4,36,157,61,218,,,10,4,14,1,,1,1,1,2,531,193,724,
TAMU Age                <18,1,,1,,,,,,,3,,3,,,,,,1,,1,,,,,,,5,,5,
18-21,278,98,376,1,,1,50,25,75,29,4,33,157,61,218,,,9,4,13,1,,1,1,1,2,526,193,719,
22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification/Deg  Freshman,249,83,332,1,,1,48,23,71,30,4,34,137,56,193,,,7,3,10,1,,1,1,1,2,474,170,644,
"ree Objective
Sophomore",25,15,40,,,,2,2,4,1,,1,9,4,13,,,2,1,3,,,,,,,39,22,61,
Junior,5,,5,,,,,,,1,,1,11,1,12,,,1,,1,,,,,,,18,1,19,
Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status          Resident Tuition,271,96,367,1,,1,48,24,72,32,4,36,157,61,218,,,10,4,14,,,,1,1,2,520,190,710,
Non-Resident Tuition,5,1,6,,,,2,1,3,,,,,,,,,,,,1,,1,,,,8,2,10,
Tuition Exemption/Waiver,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,3,1,4,
Residency Status     Texas Resident,271,96,367,1,,1,48,24,72,32,4,36,157,61,218,,,10,4,14,,,,1,1,2,520,190,710,
"Non-TX, US Resident",8,2,10,,,,2,1,3,,,,,,,,,,,,,,,,,,10,3,13,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,1,
SCH Categories       < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
12-14 SCH,207,66,273,,,,35,17,52,26,3,29,106,41,147,,,5,4,9,,,,1,1,2,380,132,512,
15-17 SCH,70,32,102,1,,1,15,8,23,6,1,7,50,20,70,,,5,,5,1,,1,,,,148,61,209,
>17 SCH,1,,1,,,,,,,,,,1,,1,,,,,,,,,,,,2,,2,
Ft/Pt:  TAMU           Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Status
Half-Time",1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
Full-Time,278,98,376,1,,1,50,25,75,32,4,36,157,61,218,,,10,4,14,1,,1,1,1,2,530,193,723,
Top 10% Texas         No,75,34,109,,,,18,13,31,7,,7,28,12,40,,,1,2,3,1,,1,,1,1,130,62,192,
Yes,204,64,268,1,,1,32,12,44,25,4,29,129,49,178,,,9,2,11,,,,1,,1,401,131,532,
First Generation      No,211,83,294,1,,1,25,16,41,15,1,16,59,26,85,,,8,4,12,,,,1,,1,320,130,450,
Unknown,11,3,14,,,,4,2,6,3,1,4,8,5,13,,,,,,1,,1,,1,1,27,12,39,
Yes,57,12,69,,,,21,7,28,14,2,16,90,30,120,,,2,,2,,,,,,,184,51,235,
Dorm / Off-              Off-campus,94,29,123,,,,17,8,25,6,2,8,47,15,62,,,4,,4,1,,1,,1,1,169,55,224,
"campus students
Dorm (On-campus)",185,69,254,1,,1,33,17,50,26,2,28,110,46,156,,,6,4,10,,,,1,,1,362,138,500,
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 30 Oct 13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
