Headcount by Major by Level/Degree Objective by Entry Status,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,
Fall 2013,Undergraduate,,,,Masters,,,Doctoral,,,Professional,,Total,
,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,,
Education                ATTR,,,,,10,,10,,,,,,20,
BIED,,,,,5,,14,,,,,,19,
CPSY,,,,,,,,10,,31,,,41,
EDAD,,,,,42,,23,7,2,121,,,195,
EDCI,,,,,100,3,135,14,1,128,,,381,
EDHL,255,44,3,679,,,,,,,,,981,
EDIS,186,120,5,338,,,,,,,,,649,
EDKI,199,62,4,541,,,,,,,,,806,
EDSM,80,32,11,232,,,,,,,,,355,
EHRD,,,,,20,,60,6,1,76,,,163,
EPSY,,,,,37,,10,19,,71,,,137,
GENE,,,,,,,,,,1,,,1,
HEED,,,,,14,1,29,9,,21,,,74,
HLTH,,,1,296,,,,,,,,,297,
HRDL,32,34,8,81,,,,,,,,,155,
HRDV,,,2,101,,,,,,,,,103,
INST,4,7,6,797,,,,,,,,,814,
KINE,,,,246,22,,20,8,1,51,,,348,
NUTR,,,,,,,2,,,,,,2,
SPED,,,,,31,,20,,,,,,51,
SPMT,,,3,185,38,,44,,,,,,270,
SPSY,,,,,,,,9,,34,,,43,
TCMG,,,2,54,,,,,,,,,56,
TCML,36,7,7,66,,,,,,,,,116,
TECR,,,,2,,,,,,,,,2,
USEH,6,2,5,51,,,,,,,,,64,
Subtotal,798,308,57,"3,669",319,4,367,82,5,534,,,"6,143",
