Residency Status by Tuition Status by College,,,,,,,,,
(College Station),,,,,,,,,
Fall 2013,Tuition Status,,,,,,,,
,Resident Tuition,,Non-Resident  Tuition,,Tuition  Exemption/Waiver,,Total,,
Agriculture                     Texas Resident,"6,642",100.0%,15,5.5%,17,2.5%,"6,674",88.0%,
"Non-TX, US Resident",0,.0%,123,44.9%,334,50.1%,457,6.0%,
"Non-TX, Non-US Resident",0,.0%,136,49.6%,316,47.4%,452,6.0%,
Architecture                   Texas Resident,"1,774",100.0%,5,3.1%,3,1.5%,"1,782",83.7%,
"Non-TX, US Resident",0,.0%,28,17.4%,44,22.7%,72,3.4%,
"Non-TX, Non-US Resident",0,.0%,128,79.5%,147,75.8%,275,12.9%,
Business Admin             Texas Resident,"5,210",100.0%,5,2.6%,9,3.4%,"5,224",92.2%,
"Non-TX, US Resident",0,.0%,58,30.1%,105,39.8%,163,2.9%,
"Non-TX, Non-US Resident",0,.0%,130,67.4%,150,56.8%,280,4.9%,
Education                        Texas Resident,"5,745",100.0%,13,7.6%,8,3.5%,"5,766",93.9%,
"Non-TX, US Resident",1,.0%,77,45.3%,94,41.4%,172,2.8%,
"Non-TX, Non-US Resident",0,.0%,80,47.1%,125,55.1%,205,3.3%,
Engineering                    Texas Resident,"9,320",100.0%,21,1.7%,37,2.1%,"9,378",76.1%,
"Non-TX, US Resident",0,.0%,148,11.8%,494,28.2%,642,5.2%,
"Non-TX, Non-US Resident",0,.0%,"1,090",86.6%,"1,218",69.6%,"2,308",18.7%,
G. Bush School of          Texas Resident,234,100.0%,1,20.0%,11,8.0%,246,65.3%,
"Govt                                  Non-TX, US Resident",0,.0%,2,40.0%,87,63.0%,89,23.6%,
"Non-TX, Non-US Resident",0,.0%,2,40.0%,40,29.0%,42,11.1%,
Geosciences                    Texas Resident,955,100.0%,3,3.5%,4,2.0%,962,77.4%,
"Non-TX, US Resident",0,.0%,19,22.1%,106,52.5%,125,10.1%,
"Non-TX, Non-US Resident",0,.0%,64,74.4%,92,45.5%,156,12.6%,
Liberal Arts                     Texas Resident,"6,796",100.0%,12,3.6%,17,3.2%,"6,825",89.1%,
"Non-TX, US Resident",0,.0%,139,41.9%,349,65.8%,488,6.4%,
"Non-TX, Non-US Resident",0,.0%,181,54.5%,164,30.9%,345,4.5%,
School of Law                 Texas Resident,0,.0%,0,.0%,0,.0%,0,.0%,
"Non-TX, US Resident",0,.0%,0,.0%,0,.0%,0,.0%,
"Non-TX, Non-US Resident",0,.0%,0,.0%,0,.0%,0,.0%,
Science                            Texas Resident,"3,026",100.0%,7,4.4%,7,1.1%,"3,040",79.8%,
"Non-TX, US Resident",0,.0%,60,38.0%,244,39.0%,304,8.0%,
"Non-TX, Non-US Resident",0,.0%,91,57.6%,375,59.9%,466,12.2%,
Veterinary Medicine     Texas Resident,"2,457",100.0%,2,4.9%,9,7.7%,"2,468",94.4%,
"Non-TX, US Resident",0,.0%,29,70.7%,68,58.1%,97,3.7%,
"Non-TX, Non-US Resident",0,.0%,10,24.4%,40,34.2%,50,1.9%,
General Studies             Texas Resident,"2,654",100.0%,3,5.5%,1,2.0%,"2,658",96.3%,
"Non-TX, US Resident",0,.0%,49,89.1%,45,88.2%,94,3.4%,
"Non-TX, Non-US Resident",0,.0%,3,5.5%,5,9.8%,8,.3%,
Galveston                        Texas Resident,0,.0%,0,.0%,0,.0%,0,.0%,
"Non-TX, US Resident",0,.0%,0,.0%,0,.0%,0,.0%,
"Non-TX, Non-US Resident",0,.0%,0,.0%,0,.0%,0,.0%,
Other - Special               Texas Resident,17,100.0%,2,1.8%,0,.0%,19,14.0%,
"Populations                    Non-TX, US Resident",0,.0%,3,2.7%,6,66.7%,9,6.6%,
"Non-TX, Non-US Resident",0,.0%,105,95.5%,3,33.3%,108,79.4%,
Total                                 Texas Resident,"44,830",100.0%,89,3.1%,123,2.6%,"45,042",85.9%,
"Non-TX, US Resident",1,.0%,735,25.8%,"1,976",41.4%,"2,712",5.2%,
"Non-TX, Non-US Resident",0,.0%,"2,020",71.0%,"2,675",56.0%,"4,695",9.0%,
"Table 10     Prepared by DARS, 12/3/2013",,,,,,,,,
