Ethnicity Black Only + 2 or more/1 Black,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,
Fall 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Engineering      AERL,5,1,,,6,,,,,,,6,
AERO,,,3,1,4,,,1,1,,,5,
BIOT,,,,,,2,2,,,,,2,
BMEL,2,1,,,3,,,,,,,3,
BMEN,,,,5,5,,,1,1,,,6,
CECL,8,3,3,,14,,,,,,,14,
CECN,,1,,2,3,,,,,,,3,
CEEL,,1,2,,3,,,,,,,3,
CEEN,,,,2,2,1,1,,,,,3,
CHEL,1,3,1,,5,,,,,,,5,
CHEN,,,1,5,6,2,2,1,1,,,9,
CPSC,,1,2,5,8,,,3,3,,,11,
CPSL,2,4,2,1,9,,,,,,,9,
CVEL,7,2,1,,10,,,,,,,10,
CVEN,1,1,2,7,11,2,2,,,,,13,
ELEL,3,4,3,1,11,,,,,,,11,
ELEN,,1,4,6,11,1,1,2,2,,,14,
ENGE,10,,,,10,,,,,,,10,
ENGR,,,,,,,,1,1,,,1,
ENSM,,,,,,1,1,,,,,1,
ENTC,,1,3,10,14,,,,,,,14,
ENTL,3,3,3,2,11,,,,,,,11,
HLPH,,,,,,1,1,,,,,1,
IDIL,1,,3,,4,,,,,,,4,
IDIS,,2,4,7,13,5,5,,,,,18,
INEL,1,2,1,,4,,,,,,,4,
INEN,,,2,11,13,7,7,2,2,,,22,
ITDE,,,,,,,,1,1,,,1,
MEEL,7,,,,7,,,,,,,7,
MEEN,,1,5,5,11,4,4,3,3,,,18,
MSEN,,,,,,,,1,1,,,1,
NUEL,1,,,,1,,,,,,,1,
NUEN,,1,1,4,6,1,1,1,1,,,8,
OCEL,2,,,,2,,,,,,,2,
OCEN,,,,1,1,1,1,,,,,2,
PETE,,2,4,5,11,5,5,4,4,,,20,
PETL,3,,1,,4,,,,,,,4,
RHEL,1,,,,1,,,,,,,1,
RHEN,,,,1,1,,,,,,,1,
SENG,,,,,,3,3,,,,,3,
Subtotal,58,35,51,81,225,36,36,21,21,,,282,
G. Bush School CAIA,,,,,,4,4,,,,,4,
of Govt               CHLS,,,,,,2,2,,,,,2,
CNPM,,,,,,5,5,,,,,5,
INTA,,,,,,4,4,,,,,4,
PSAA,,,,,,8,8,,,,,8,
Subtotal,,,,,,23,23,,,,,23,
