Headcount by Major by Ethnic Origin by Gender,,,,,,,,,,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,,,,,,,,,,
Fall 2013,,White Only,,American Indian Only,,Asian Only,,Black Only + 2 or more/1 Black,,Hispanic or Latino of any Race,,Native Hawaii Only,,"2 or
More/Excluding Black",,International,,Unknown or Not Reported,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
AERO,,48,268,,3,,20,1,4,7,54,,,2,6,6,39,,2,64,396,460,
BIOT,,6,2,,,,3,1,1,1,3,,,,,19,3,,,27,12,39,
BMEL,,63,49,,,7,5,2,1,15,18,,,2,3,,,,,89,76,165,
BMEN,,85,130,,1,13,20,1,5,24,32,,,5,9,11,24,1,2,140,223,363,
CECL,,12,97,,,3,19,4,10,8,52,,,,6,,7,,,27,191,218,
CECN,,10,105,,2,3,15,2,1,4,16,,,,3,14,72,1,,34,214,248,
CEEL,,9,54,,,,11,,3,1,32,,,,5,,4,,,10,109,119,
CEEN,,5,68,,,2,11,,3,4,21,,1,,2,19,108,,2,30,216,246,
CHEL,,64,96,,1,7,18,,5,19,26,,1,,6,1,5,,1,91,159,250,
CHEN,,99,223,1,1,19,40,1,8,26,43,,1,7,11,28,66,1,2,182,395,577,
CPSC,,20,216,1,1,1,31,1,10,6,38,,1,2,7,36,132,2,4,69,440,509,
CPSL,,16,131,,2,5,13,1,8,11,46,,1,3,8,2,6,,1,38,216,254,
CVEL,,57,143,,2,6,11,1,9,22,51,,,2,8,1,3,,,89,227,316,
CVEN,,145,393,,1,10,23,2,11,36,87,,,,6,72,166,1,3,266,690,956,
ELEL,,32,210,,1,12,30,2,9,17,79,1,,1,6,5,17,,,70,352,422,
ELEN,,32,275,,1,16,62,4,10,12,99,,,4,16,62,367,,7,130,837,967,
ENGE,,33,99,,1,8,14,4,6,15,38,,,6,6,,,,1,66,165,231,
ENGR,,,1,,,1,2,1,,,,,,,,1,,,1,3,4,7,
ENSM,,2,4,,,,,,1,1,,,,,,1,3,,,4,8,12,
ENTC,,10,187,,,2,10,3,11,8,60,,,,4,1,4,,,24,276,300,
ENTL,,12,120,,,2,13,1,10,12,48,,,,1,,4,,,27,196,223,
HLPH,,4,7,,1,,,,1,,1,,,,,1,,,,5,10,15,
IDIL,,18,108,,2,1,1,,4,4,13,,,1,2,,,,,24,130,154,
IDIS,,54,303,,,5,8,6,12,13,54,,1,2,7,1,5,,4,81,394,475,
INEL,,41,99,,1,2,9,1,3,13,36,,,1,6,5,12,,,63,166,229,
INEN,,61,215,1,1,5,30,5,17,24,79,,1,6,10,63,124,,2,165,479,644,
ITDE,,,2,,,1,,1,,,,,,,,,,,,2,2,4,
MEEL,,45,256,,1,,10,,7,13,67,,,3,10,2,7,,,63,358,421,
MEEN,,97,603,,2,12,49,4,14,26,103,,1,1,14,57,236,,5,197,"1,027","1,224",
MSEN,,4,14,,,1,3,,1,,2,,,,1,15,49,,1,20,71,91,
NUEL,,7,56,,,1,9,,1,3,18,,,,1,,1,,,11,86,97,
NUEN,,16,149,,,,10,2,6,5,33,,,,5,3,36,,1,26,240,266,
OCEL,,8,13,,,1,1,1,1,3,2,,,,,1,2,,,14,19,33,
OCEN,,11,43,,2,2,5,1,1,5,13,,2,,4,11,47,,1,30,118,148,
PETE,,74,391,1,6,12,42,4,16,12,73,,1,3,11,65,191,3,10,174,741,915,
PETL,,41,155,,,1,15,,4,7,37,,,3,5,2,5,,,54,221,275,
RHEL,,9,5,,,,3,,1,1,,,,,,,,,,10,9,19,
RHEN,,16,11,,,2,2,,1,4,6,,,1,3,,1,,,23,24,47,
SENG,,1,4,,,,2,,3,1,,,,,,6,8,1,,9,17,26,
USEN,,,1,,,,,,,,,,,,,,,,,,1,1,
WMHS,,,1,,,,,,,,,,,,,1,,,,1,1,2,
Subtotal,,"1,295","5,509",4,33,166,579,58,224,393,"1,469",1,12,58,198,512,"1,756",11,50,"2,498","9,830","12,328",
G. Bush School,CAIA,8,23,,,,,4,,2,10,,,,,,,,,14,33,47,
of Govt,CHLS,6,11,,,,1,1,1,1,5,,,,,,,,,8,18,26,
CNPM,,6,4,,,1,,5,,1,1,,,1,,,,,,14,5,19,
INTA,,45,73,,,3,3,1,3,9,9,,,2,3,3,10,1,1,64,102,166,
PSAA,,38,32,,,1,,3,5,6,4,,1,1,2,11,13,1,1,61,58,119,
Subtotal,,103,143,,,5,4,14,9,19,29,,1,4,5,14,23,2,2,161,216,377,
