Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2013,White Only,,,American Indian Only,,,Asian On,,ly,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,Native Hawaii Only,,"2 or More/Exclu
Black",,ding,Internatio,,nal,Unknown or Not Reported,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,19,89,108,,,,5,,5,1,,1,7,15,22,,,1,,1,1,,1,,,,34,104,138,
TAMU Age               <18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-21,16,78,94,,,,5,,5,1,,1,5,13,18,,,1,,1,,,,,,,28,91,119,
22-25,3,6,9,,,,,,,,,,2,2,4,,,,,,1,,1,,,,6,8,14,
26-30,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,4,4,
31-39,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
40+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification/Deg  Freshman,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,
Sophomore,12,69,81,,,,4,,4,1,,1,3,11,14,,,1,,1,1,,1,,,,22,80,102,
Junior,6,15,21,,,,1,,1,,,,4,4,8,,,,,,,,,,,,11,19,30,
Senior,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,
Tuition Status          Resident Tuition,18,87,105,,,,4,,4,1,,1,7,15,22,,,1,,1,,,,,,,31,102,133,
Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Exemption/Waiver,1,2,3,,,,1,,1,,,,,,,,,,,,1,,1,,,,3,2,5,
Residency Status    Texas Resident,18,87,105,,,,4,,4,1,,1,7,15,22,,,1,,1,,,,,,,31,102,133,
"Non-TX, US Resident",1,2,3,,,,1,,1,,,,,,,,,,,,,,,,,,2,2,4,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,1,
SCH Categories       < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
9-11 SCH,,2,2,,,,,,,,,,,1,1,,,,,,,,,,,,,3,3,
12-14 SCH,11,44,55,,,,4,,4,1,,1,5,7,12,,,1,,1,1,,1,,,,23,51,74,
15-17 SCH,8,42,50,,,,1,,1,,,,2,7,9,,,,,,,,,,,,11,49,60,
>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU          Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Half-Time,,3,3,,,,,,,,,,,1,1,,,,,,,,,,,,,4,4,
Full-Time,19,86,105,,,,5,,5,1,,1,7,14,21,,,1,,1,1,,1,,,,34,100,134,
Top 10% Texas        No,17,84,101,,,,3,,3,,,,6,13,19,,,1,,1,1,,1,,,,28,97,125,
High School,2,5,7,,,,2,,2,1,,1,1,2,3,,,,,,,,,,,,6,7,13,
First Generation     No,13,66,79,,,,3,,3,1,,1,2,7,9,,,1,,1,,,,,,,20,73,93,
Unknown,3,4,7,,,,1,,1,,,,,,,,,,,,1,,1,,,,5,4,9,
Yes,3,19,22,,,,1,,1,,,,5,8,13,,,,,,,,,,,,9,27,36,
Dorm / Off-             Off-campus,19,87,106,,,,5,,5,1,,1,7,14,21,,,1,,1,1,,1,,,,34,101,135,
Dorm (On-campus),,2,2,,,,,,,,,,,1,1,,,,,,,,,,,,,3,3,
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ree Objective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campus students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 30 Oct 13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
