Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Veterinary Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2013,White Only,,,American Indian Only,,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,Native Hawaii Only,,2 or More/Excluding Black,,,International,,,Unknown or Not Reported,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,4,3,7,,,,,,,,,,1,1,2,,,,,,,,,,,,5,4,9,
TAMU Age               <18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-21,4,3,7,,,,,,,,,,1,1,2,,,,,,,,,,,,5,4,9,
22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification/Deg  Freshman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sophomore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior,3,2,5,,,,,,,,,,1,1,2,,,,,,,,,,,,4,3,7,
Senior,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
Tuition Status          Resident Tuition,4,3,7,,,,,,,,,,1,1,2,,,,,,,,,,,,5,4,9,
Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residency Status    Texas Resident,4,3,7,,,,,,,,,,1,1,2,,,,,,,,,,,,5,4,9,
"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH Categories       < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,1,
15-17 SCH,4,3,7,,,,,,,,,,,1,1,,,,,,,,,,,,4,4,8,
>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU          Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Half-Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-Time,4,3,7,,,,,,,,,,1,1,2,,,,,,,,,,,,5,4,9,
Top 10% Texas        No,1,3,4,,,,,,,,,,1,1,2,,,,,,,,,,,,2,4,6,
"High School
Yes",3,,3,,,,,,,,,,,,,,,,,,,,,,,,3,,3,
First Generation     No,3,3,6,,,,,,,,,,,1,1,,,,,,,,,,,,3,4,7,
Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,1,,1,,,,,,,,,,1,,1,,,,,,,,,,,,2,,2,
Dorm / Off-             Off-campus,4,3,7,,,,,,,,,,1,1,2,,,,,,,,,,,,5,4,9,
Dorm (On-campus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ree Objective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campus students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
