Ethnicity Black Only + 2 or more/1 Black,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,
Fall 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Veterinary         BIMS,41,14,11,15,81,2,2,,,,,83,
BIOT,,,,,,,,,,,,,
TOXI,,,,,,,,1,1,,,1,
USVM,,,,1,1,,,,,,,1,
VPAT,,,,,,,,,,,,,
VTMD,,,,,,,,,,4,4,4,
VTMI,,,,,,,,1,1,,,1,
Subtotal,41,14,11,16,82,2,2,2,2,4,4,90,
General              GEST,28,14,2,,44,,,,,,,44,
TEAM,18,13,,,31,,,,,,,31,
TMEN,1,,,,1,,,,,,,1,
Subtotal,47,27,2,,76,,,,,,,76,
Other - Special MARB,,,,,,,,,,,,,
MDSC,,,,,,,,,,,,,
PHLT,,,,,,1,1,,,,,1,
REEP,,,,,,,,,,,,,
Subtotal,,,,,,1,1,,,,,1,
University          Total,472,256,265,377,"1,370",182,182,192,192,4,4,"1,748",
Medicine,,,,,,,,,,,,,
Studies,,,,,,,,,,,,,
Populations,,,,,,,,,,,,,
"Prepared by DARS, 04 Dec 13",,,,,,,,,,,,,
