Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students (College Station),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2013,White Only,,,American Indian Only,,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,Native Hawaii Only,,2 or More/Excludin g Black,,,International,,,Unknown or Not Reported,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,365,171,536,,,,24,20,44,26,15,41,165,55,220,,,12,6,18,3,,3,1,,1,596,267,863,
TAMU Age                <18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-21,365,170,535,,,,24,20,44,26,15,41,165,55,220,,,12,5,17,3,,3,1,,1,596,265,861,
22-25,,1,1,,,,,,,,,,,,,,,,1,1,,,,,,,,2,2,
Classification/Deg  Freshman,326,158,484,,,,22,17,39,24,15,39,141,49,190,,,9,6,15,3,,3,1,,1,526,245,771,
"ree Objective
Sophomore",36,12,48,,,,2,3,5,2,,2,20,4,24,,,3,,3,,,,,,,63,19,82,
Junior,3,1,4,,,,,,,,,,4,2,6,,,,,,,,,,,,7,3,10,
Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status          Resident Tuition,339,161,500,,,,23,18,41,25,14,39,163,54,217,,,12,5,17,,,,1,,1,563,252,815,
Non-Resident Tuition,10,,10,,,,,,,1,,1,,,,,,,,,2,,2,,,,13,,13,
Tuition Exemption/Waiver,16,10,26,,,,1,2,3,,1,1,2,1,3,,,,1,1,1,,1,,,,20,15,35,
Residency Status     Texas Resident,339,161,500,,,,23,19,42,25,14,39,163,54,217,,,12,5,17,,,,1,,1,563,253,816,
"Non-TX, US Resident",26,10,36,,,,1,1,2,1,1,2,2,1,3,,,,1,1,,,,,,,30,14,44,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,3,,3,,,,3,,3,
SCH Categories       < 6 SCH,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,1,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,1,,1,,,,,1,1,,,,,,,,,,,,,,,,,,1,1,2,
12-14 SCH,229,111,340,,,,12,12,24,15,9,24,101,32,133,,,6,4,10,2,,2,1,,1,366,168,534,
15-17 SCH,135,60,195,,,,12,7,19,11,6,17,63,23,86,,,5,2,7,1,,1,,,,227,98,325,
>17 SCH,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,1,
Ft/Pt:  TAMU           Less Than Half Time,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,1,
"Status
Half-Time",1,,1,,,,,1,1,,,,,,,,,,,,,,,,,,1,1,2,
Full-Time,364,171,535,,,,24,19,43,26,15,41,164,55,219,,,12,6,18,3,,3,1,,1,594,266,860,
Top 10% Texas         No,109,66,175,,,,9,10,19,3,9,12,24,17,41,,,2,6,8,2,,2,1,,1,150,108,258,
Yes,256,105,361,,,,15,10,25,23,6,29,141,38,179,,,10,,10,1,,1,,,,446,159,605,
First Generation      No,284,129,413,,,,9,18,27,11,6,17,56,20,76,,,9,4,13,,,,,,,369,177,546,
Unknown,9,11,20,,,,3,1,4,2,5,7,9,2,11,,,,,,3,,3,1,,1,27,19,46,
Yes,72,31,103,,,,12,1,13,13,4,17,100,33,133,,,3,2,5,,,,,,,200,71,271,
Dorm / Off-              Off-campus,155,89,244,,,,12,9,21,5,9,14,45,18,63,,,5,2,7,3,,3,1,,1,226,127,353,
"campus students
Dorm (On-campus)",210,82,292,,,,12,11,23,21,6,27,120,37,157,,,7,4,11,,,,,,,370,140,510,
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 30 Oct 13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
