Texas A&M University Student Enrollment Summary,,,,,,,,,
Student Head Count by Level (Qatar) Not Reported to THECB,,,,,,,,,
"Qatar, Summer 2013",,,,,,,,,
,Undergraduate,,Masters,,Doctoral,,Total,,
,#,%,#,%,#,%,#,%,
Gender                      Total,495,100.0%,47,100.0%,1,100.0%,543,100.0%,
Female,191,38.6%,21,44.7%,1,100.0%,213,39.2%,
Male,304,61.4%,26,55.3%,,,330,60.8%,
"TAMU Age               <18
Categories",22,4.4%,,,,,22,4.1%,
18-21,370,74.7%,1,2.1%,,,371,68.3%,
22-25,94,19.0%,29,61.7%,,,123,22.7%,
26-30,5,1.0%,14,29.8%,1,100.0%,20,3.7%,
31-39,4,.8%,3,6.4%,,,7,1.3%,
Enrollment Status  1st Time in College,103,20.8%,,,,,103,19.0%,
1st Time Transfer,9,1.8%,,,,,9,1.7%,
1st Time Graduate,,,14,29.8%,,,14,2.6%,
Readmitted,1,.2%,,,,,1,.2%,
Continuing,382,77.2%,33,70.2%,1,100.0%,416,76.6%,
SCH Categories       < 6 SCH,16,3.2%,12,25.5%,1,100.0%,29,5.3%,
6-8 SCH,9,1.8%,9,19.1%,,,18,3.3%,
9-11 SCH,44,8.9%,25,53.2%,,,69,12.7%,
12-14 SCH,204,41.2%,1,2.1%,,,205,37.8%,
15-17 SCH,198,40.0%,,,,,198,36.5%,
>17 SCH,24,4.8%,,,,,24,4.4%,
"Ft/Pt:  TAMU          Less Than Half Time
Status",16,3.2%,5,10.6%,1,100.0%,22,4.1%,
Half-Time,53,10.7%,16,34.0%,,,69,12.7%,
Full-Time,426,86.1%,26,55.3%,,,452,83.2%,
First Generation     No,9,1.8%,1,2.1%,,,10,1.8%,
Unknown,484,97.8%,46,97.9%,1,100.0%,531,97.8%,
Yes,2,.4%,,,,,2,.4%,
"Table 7    Prepared by DARS, 12/3/2013",,,,,,,,,
