Texas A&M University Student Enrollment Summary,,,,,,,,,,,
Student Head Count by Level by College (College Station),,,,,,,,,,,
College Geosciences,,,,,,,,,,,
Fall 2013,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                   Total,883,100.0%,168,100.0%,192,100.0%,,,"1,243",100.0%,
Female,334,37.8%,62,36.9%,79,41.1%,,,475,38.2%,
Male,549,62.2%,106,63.1%,113,58.9%,,,768,61.8%,
Ethnicity                White Only,617,69.9%,100,59.5%,80,41.7%,,,797,64.1%,
American Indian Only,3,.3%,,,1,.5%,,,4,.3%,
Asian Only,30,3.4%,5,3.0%,3,1.6%,,,38,3.1%,
Black Only + 2 or more/1 Black,27,3.1%,6,3.6%,1,.5%,,,34,2.7%,
Hispanic or Latino of any Race,162,18.3%,23,13.7%,8,4.2%,,,193,15.5%,
Native Hawaii Only,,,,,,,,,,,
2 or More/Excluding Black,16,1.8%,1,.6%,3,1.6%,,,20,1.6%,
International,27,3.1%,33,19.6%,92,47.9%,,,152,12.2%,
Unknown or Not Reported,1,.1%,,,4,2.1%,,,5,.4%,
TAMU Age            <18,4,.5%,,,,,,,4,.3%,
Categories             18-21,660,74.7%,,,,,,,660,53.1%,
22-25,193,21.9%,90,53.6%,44,22.9%,,,327,26.3%,
26-30,20,2.3%,52,31.0%,79,41.1%,,,151,12.1%,
31-39,4,.5%,22,13.1%,51,26.6%,,,77,6.2%,
40+,2,.2%,4,2.4%,18,9.4%,,,24,1.9%,
Enrollment           1st Time in College,200,22.7%,,,,,,,200,16.1%,
Status                     1st Time Transfer,42,4.8%,,,,,,,42,3.4%,
1st Time Graduate,,,53,31.5%,40,20.8%,,,93,7.5%,
1st Time Professional,,,,,,,,,,,
Readmitted,17,1.9%,,,,,,,17,1.4%,
Continuing,624,70.7%,115,68.5%,152,79.2%,,,891,71.7%,
Tuition Status       Resident Tuition,824,93.3%,94,56.0%,37,19.3%,,,955,76.8%,
Non-Resident Tuition,26,2.9%,21,12.5%,39,20.3%,,,86,6.9%,
Tuition Exemption/Waiver,33,3.7%,53,31.5%,116,60.4%,,,202,16.3%,
Residency Status Texas Resident,826,93.5%,96,57.1%,40,20.8%,,,962,77.4%,
"Non-TX, US Resident",32,3.6%,37,22.0%,56,29.2%,,,125,10.1%,
"Non-TX, Non-US Resident",25,2.8%,35,20.8%,96,50.0%,,,156,12.6%,
SCH Categories    < 6 SCH,4,.5%,37,22.0%,24,12.5%,,,65,5.2%,
6-8 SCH,11,1.2%,7,4.2%,5,2.6%,,,23,1.9%,
9-11 SCH,30,3.4%,117,69.6%,161,83.9%,,,308,24.8%,
12-14 SCH,447,50.6%,7,4.2%,2,1.0%,,,456,36.7%,
15-17 SCH,378,42.8%,,,,,,,378,30.4%,
>17 SCH,13,1.5%,,,,,,,13,1.0%,
Ft/Pt:  TAMU       Less Than Half Time,4,.5%,32,19.0%,23,12.0%,,,59,4.7%,
Status                     Half-Time,41,4.6%,12,7.1%,6,3.1%,,,59,4.7%,
Full-Time,838,94.9%,124,73.8%,163,84.9%,,,"1,125",90.5%,
Top 10% Texas     No,501,56.7%,157,93.5%,187,97.4%,,,845,68.0%,
High School          Yes,382,43.3%,11,6.5%,5,2.6%,,,398,32.0%,
First Generation  No,594,67.3%,98,58.3%,82,42.7%,,,774,62.3%,
Unknown,53,6.0%,35,20.8%,57,29.7%,,,145,11.7%,
Yes,236,26.7%,35,20.8%,53,27.6%,,,324,26.1%,
"Table 8     Prepared by DARS, 12/3/2013",,,,,,,,,,,
