Headcount by Major by Ethnic Origin by Gender,,,,,,,,,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,,,,,,,,,
Fall 2013,White Only,,American Indian Only,,Asian Only,,Black Only + 2 or more/1 Black,,Hispanic or Latino of any Race,,Native Hawaii Only,,"2 or
More/Excluding Black",,International,,Unknown or Not Reported,,Total,,Total,
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Agriculture           ABME,,1,,,1,,,,,,,,,,3,3,,,4,4,8,
ADEV,10,8,,,,,,1,,1,,,,,,,,,10,10,20,
AGBL,58,97,,,1,4,1,,12,13,,,4,1,3,1,,,79,116,195,
AGBU,51,98,,1,,1,2,,7,11,,,1,1,10,6,,1,71,119,190,
AGCJ,192,52,2,,1,,11,2,29,9,,,4,2,2,1,,,241,66,307,
AGEC,81,149,,,5,1,,,6,22,,,1,1,21,31,,1,114,205,319,
AGED,4,4,,,,,,1,,1,,,,,1,,,,5,6,11,
AGLS,27,40,,,1,2,6,2,10,8,,,,1,2,1,,,46,54,100,
AGRO,12,59,,,3,1,1,,5,4,,,,3,2,4,,,23,71,94,
AGSC,76,42,,,,1,,1,10,5,,,1,2,,,,,87,51,138,
AGSM,12,105,,,,1,2,,3,16,,,1,4,,5,,,18,131,149,
ALEC,57,30,,,1,2,3,5,6,8,,,1,1,3,,1,,72,46,118,
ALED,163,278,3,2,,,7,40,29,37,,1,,8,1,,,,203,366,569,
ANBR,4,3,,,,,1,,,,,,,,1,,,,6,3,9,
ANSC,610,199,6,1,6,1,19,1,150,63,,,18,7,2,5,1,,812,277,"1,089",
BAEN,55,124,,,4,8,4,5,17,31,,,2,7,16,27,1,1,99,203,302,
BESC,70,68,,1,12,13,8,7,50,30,,1,2,2,5,2,,,147,124,271,
BICH,65,84,,1,23,27,17,7,34,36,,,4,4,30,41,1,3,174,203,377,
CDEV,8,2,,,1,,,,4,4,,,,,,,,,13,6,19,
ECOR,8,12,1,,1,,,,1,2,,,,,,,,,11,14,25,
ENST,20,20,,,1,,,,1,3,,,2,,,,,,24,23,47,
ENTO,40,36,,,4,4,1,2,19,10,,,,4,12,8,,,76,64,140,
ESSM,17,6,,,1,,1,,5,4,,,,,7,5,,,31,15,46,
FISC,,1,,,,,,,,,,,,,,,,,,1,1,
FIVL,31,21,,,2,,3,3,48,16,,,1,1,1,,1,,87,41,128,
FIVS,18,10,1,,,2,1,,7,2,,,1,,,,,,28,14,42,
FORS,5,22,,,,1,,,1,3,,,,1,2,2,,,8,29,37,
FSTC,66,28,,,6,7,3,2,16,5,,,3,1,14,5,1,,109,48,157,
GENE,57,31,,,9,8,3,2,21,8,,,2,2,2,6,1,,95,57,152,
HORT,83,49,,,4,,,1,21,15,,,1,2,12,2,,,121,69,190,
MEPS,2,3,,,,1,,1,1,2,,,1,,9,9,,,13,16,29,
NRDV,8,12,,,,,,,1,2,,,,1,,,,1,9,16,25,
NUSC,304,41,1,,28,6,13,3,101,17,1,,8,4,3,,1,,460,71,531,
NUTR,13,3,,,1,,,,5,,,,,,11,1,,,30,4,34,
PLBR,7,21,,,1,,,,,2,,,,,8,8,,,16,31,47,
PLPA,6,6,,,,2,1,1,,2,,,,,2,9,,,9,20,29,
POSC,46,54,1,,,1,3,2,17,12,,,1,1,4,5,,,72,75,147,
PREP,5,2,,,,,,,,,,,,,1,2,,,6,4,10,
PSSC,7,27,,,,1,,1,1,6,,1,,,2,,,,10,36,46,
RENR,18,36,,,2,,1,2,4,13,,,,3,1,,,,26,54,80,
RLEM,8,34,,,,,,,2,3,,,,5,,,,,10,42,52,
RPTS,230,117,,,6,3,12,20,21,16,,,5,5,19,12,,1,293,174,467,
RRDV,1,,,,,,,,,,,,,,,,,,1,,1,
SOSC,5,9,,,,,1,,2,,,,1,,5,2,1,,15,11,26,
SPSA,4,17,,,,,,,3,7,,,1,2,,,,,8,26,34,
TGSC,,14,,,,1,,,,3,,,,,,,,,,18,18,
TOXI,1,,,,,,1,,,,,,,,1,,,,3,,3,
USAL,69,95,,1,,1,6,8,17,29,,,1,4,,1,,1,93,140,233,
WFSC,179,150,,1,3,1,11,2,68,37,1,2,7,2,9,10,1,2,279,207,486,
WISC,8,5,,,,,,,2,1,,,,,,,,,10,6,16,
WMHS,3,10,,,,,,,2,1,,,,,2,1,,,7,12,19,
Subtotal,"2,824","2,335",15,8,128,101,143,122,759,520,2,5,74,82,229,215,10,11,"4,184","3,399","7,583",
