Texas A&M University Student Enrollment Summary,,,,,,,,,,,
Student Head Count by Level by College (College Station),,,,,,,,,,,
College Architecture,,,,,,,,,,,
Fall 2013,,,,,,,,,,,
,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                   Total,"1,640",100.0%,374,100.0%,115,100.0%,,,"2,129",100.0%,
Female,580,35.4%,160,42.8%,42,36.5%,,,782,36.7%,
Male,"1,060",64.6%,214,57.2%,73,63.5%,,,"1,347",63.3%,
Ethnicity                White Only,"1,112",67.8%,129,34.5%,20,17.4%,,,"1,261",59.2%,
American Indian Only,3,.2%,,,,,,,3,.1%,
Asian Only,46,2.8%,11,2.9%,4,3.5%,,,61,2.9%,
Black Only + 2 or more/1 Black,33,2.0%,11,2.9%,4,3.5%,,,48,2.3%,
Hispanic or Latino of any Race,405,24.7%,32,8.6%,6,5.2%,,,443,20.8%,
Native Hawaii Only,2,.1%,,,,,,,2,.1%,
2 or More/Excluding Black,27,1.6%,3,.8%,,,,,30,1.4%,
International,12,.7%,184,49.2%,79,68.7%,,,275,12.9%,
Unknown or Not Reported,,,4,1.1%,2,1.7%,,,6,.3%,
TAMU Age            <18,3,.2%,,,,,,,3,.1%,
Categories             18-21,"1,193",72.7%,6,1.6%,,,,,"1,199",56.3%,
22-25,402,24.5%,233,62.3%,3,2.6%,,,638,30.0%,
26-30,26,1.6%,100,26.7%,37,32.2%,,,163,7.7%,
31-39,14,.9%,31,8.3%,55,47.8%,,,100,4.7%,
40+,2,.1%,4,1.1%,20,17.4%,,,26,1.2%,
Enrollment           1st Time in College,284,17.3%,,,,,,,284,13.3%,
Status                     1st Time Transfer,138,8.4%,,,,,,,138,6.5%,
1st Time Graduate,,,139,37.2%,21,18.3%,,,160,7.5%,
1st Time Professional,,,,,,,,,,,
Readmitted,16,1.0%,3,.8%,,,,,19,.9%,
Continuing,"1,202",73.3%,232,62.0%,94,81.7%,,,"1,528",71.8%,
Tuition Status       Resident Tuition,"1,593",97.1%,156,41.7%,25,21.7%,,,"1,774",83.3%,
Non-Resident Tuition,19,1.2%,116,31.0%,26,22.6%,,,161,7.6%,
Tuition Exemption/Waiver,28,1.7%,102,27.3%,64,55.7%,,,194,9.1%,
Residency Status Texas Resident,"1,593",97.1%,161,43.0%,28,24.3%,,,"1,782",83.7%,
"Non-TX, US Resident",35,2.1%,29,7.8%,8,7.0%,,,72,3.4%,
"Non-TX, Non-US Resident",12,.7%,184,49.2%,79,68.7%,,,275,12.9%,
SCH Categories    < 6 SCH,10,.6%,31,8.3%,20,17.4%,,,61,2.9%,
6-8 SCH,91,5.5%,4,1.1%,2,1.7%,,,97,4.6%,
9-11 SCH,47,2.9%,121,32.4%,87,75.7%,,,255,12.0%,
12-14 SCH,858,52.3%,162,43.3%,4,3.5%,,,"1,024",48.1%,
15-17 SCH,612,37.3%,55,14.7%,2,1.7%,,,669,31.4%,
>17 SCH,22,1.3%,1,.3%,,,,,23,1.1%,
Ft/Pt:  TAMU       Less Than Half Time,10,.6%,26,7.0%,19,16.5%,,,55,2.6%,
Status                     Half-Time,138,8.4%,9,2.4%,3,2.6%,,,150,7.0%,
Full-Time,"1,492",91.0%,339,90.6%,93,80.9%,,,"1,924",90.4%,
Top 10% Texas     No,934,57.0%,349,93.3%,114,99.1%,,,"1,397",65.6%,
High School          Yes,706,43.0%,25,6.7%,1,.9%,,,732,34.4%,
First Generation  No,"1,068",65.1%,131,35.0%,56,48.7%,,,"1,255",58.9%,
Unknown,69,4.2%,193,51.6%,39,33.9%,,,301,14.1%,
Yes,503,30.7%,50,13.4%,20,17.4%,,,573,26.9%,
"Table 8     Prepared by DARS, 12/3/2013",,,,,,,,,,,
