Ethnicity Unknown or Not Reported,,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,
Fall 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Agriculture,ABME,,,,,,,,,,,,,
AGBU,,,,,1,1,,,,,,,1,
AGCJ,,,,,,,,,,,,,,
AGEC,,,,,,,,,1,1,,,1,
AGSM,,,,,,,,,,,,,,
ALEC,,,,,,,1,1,,,,,1,
ALED,,,,,,,,,,,,,,
ANBR,,,,,,,,,,,,,,
ANSC,,,,,1,1,,,,,,,1,
BAEN,,,,,1,1,1,1,,,,,2,
BESC,,,,,,,,,,,,,,
BICH FISC,,,,1,1,2,,,2,2,,,4,
FIVL,,1,,,,1,,,,,,,1,
FIVS,,,,,,,,,,,,,,
FORS,,,,,,,,,,,,,,
FSTC,,,1,,,1,,,,,,,1,
GENE,,,,,,,,,1,1,,,1,
NRDV,,,,,,,1,1,,,,,1,
NUSC,,,1,,,1,,,,,,,1,
RPTS,,,,,1,1,,,,,,,1,
RRDV,,,,,,,,,,,,,,
SOSC,,,,,,,1,1,,,,,1,
TOXI,,,,,,,,,,,,,,
USAL,,,,1,,1,,,,,,,1,
WFSC,,,,,1,1,,,2,2,,,3,
Subtotal,,1,2,2,6,11,4,4,6,6,,,21,
Architecture,ARCH,,,,,,1,1,2,2,,,3,
COMG,,,,,,,1,1,,,,,1,
LPDV,,,,,,,,,,,,,,
URPL,,,,,,,1,1,,,,,1,
VIST,,,,,,,1,1,,,,,1,
Subtotal,,,,,,,4,4,2,2,,,6,
Business Admin,ACCT,,,,,,3,3,2,2,,,5,
BUAD,,3,2,,,5,11,11,,,,,16,
BUAG,,,,,,,,,,,,,,
EMBA,,,,,,,14,14,,,,,14,
FINC,,,,1,,1,,,,,,,1,
INFO,,,,,,,,,,,,,,
MGMT,,,,,1,1,6,6,,,,,7,
MISY,,,,1,,1,2,2,,,,,3,
MKTG,,,,,1,1,5,5,1,1,,,7,
MLER,,,,,,,3,3,,,,,3,
PMBA,,,,,,,10,10,,,,,10,
SCMT,,,,,1,1,,,,,,,1,
USBU,,,,,,,,,,,,,,
Subtotal,,3,2,2,3,10,54,54,3,3,,,67,
