Headcount by Major by Level/Degree Objective by Entry Status,,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,,
Fall 2013,,Undergraduate,,,,Masters,,,Doctoral,,,Professional,,Total,
,,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,,
Science,ANLY,,,,,11,,,,,,,,11,
APHY,,,,,,,,,,,11,,,11,
APMS,,57,4,3,175,,,,,,,,,239,
BIOL,,569,56,6,726,3,,5,10,1,58,,,"1,434",
BMCB,,23,6,1,74,,,,,,,,,104,
BOTN,,,,,,,,,,,1,,,1,
CHEM,,133,14,2,212,,,5,37,,214,,,617,
GENE,,,,,,,,1,,,,,,1,
MATH,,180,10,,164,18,,25,22,,98,,,517,
MBIO,,25,6,1,58,,,,4,,13,,,107,
MEPS,,,,,,,,,,,1,,,1,
MSEN,,,,,,,,,,,2,,,2,
NRSC,,,,,,,,,6,,,,,6,
PHYS,,187,9,1,106,2,,13,22,,137,,,477,
STAT,,,,,,32,2,68,15,,45,,,162,
USSC,,14,,,20,,,,,,,,,34,
ZOOL,,34,5,,46,,,,,,1,,,86,
Subtotal,,"1,222",110,14,"1,581",66,2,117,116,1,581,,,"3,810",
Veterinary,BIMS,724,9,1,"1,108",56,1,39,17,,44,,,"1,999",
Medicine,BIOT,,,,,,,2,,,,,,2,
EPID,,,,,,,,1,,,,,,1,
GENE,,,,,,,,,,,9,,,9,
LAMD,,,,,,2,,1,,,,,,3,
STJR,,,,,,3,,6,,,,,,9,
TOXI,,,,,,,,,3,,11,,,14,
USVM,,,,,16,,,,,,,,,16,
VPAT,,,,,,,,,,,14,,,14,
VTMD,,,,,,,,,,,,132,395,527,
VTMI,,,,,,,,,3,,10,,,13,
VTPB,,,,,,,,,5,,,,,5,
VTPH,,,,,,1,,2,,,,,,3,
Subtotal,,724,9,1,"1,124",62,1,51,28,,88,132,395,"2,615",
General Studies,GEST,352,,,673,,,,,,,,,"1,025",
TEAM,,"1,063",,1,557,,,,,,,,,"1,621",
TMEN,,114,,,,,,,,,,,,114,
Subtotal,,"1,529",,1,"1,230",,,,,,,,,"2,760",
Other - Special,MARB,,,,1,,,,1,,,,,2,
Populations,MARM,,,,,,,5,,,,,,5,
MARS,,,,,1,,,,,,,,,1,
MDSC,,,,,,2,,3,,,,,,5,
PHLT,,,,,,7,,9,,,,,,16,
REEP,,,,,77,,,30,,,,,,107,
Subtotal,,,,,79,9,,47,1,,,,,136,
University,Total,"9,710","2,077",403,"29,839","2,354",18,"2,874",797,11,"3,839",132,395,"52,449",
"Prepared by DARS, 04 Dec 13",,,,,,,,,,,,,,,
