Demographic Summary,,,,,
First Generation FTIC Students  (College Station),,,,,
Fall 2013,First Generation Undergraduates,,,Grand Total,
,Unknown,Yes,No,,
Headcount Total,525,"2,555","6,630","9,710",
Gender                  Female,239,"1,459","3,264","4,962",
Male,286,"1,096","3,366","4,748",
Ethnicity               White Only,214,934,"4,907","6,055",
American Indian Only,1,3,17,21,
Asian Only,52,161,353,566,
Black Only + 2 or more/1 Black,42,181,166,389,
Hispanic or Latino of any Race,144,"1,231",980,"2,355",
Native Hawaii Only,,2,7,9,
2 or More/Excluding Black,7,42,193,242,
International,59,,1,60,
Unknown or Not Reported,6,1,6,13,
TAMU Age           <18,9,11,38,58,
Categories            18-21,515,"2,540","6,589","9,644",
22-25,1,4,3,8,
College                  Agriculture,46,271,546,863,
Architecture,19,99,166,284,
Business Admin,44,166,762,972,
Education,42,246,510,798,
Engineering,89,436,"1,682","2,207",
Geosciences,17,56,127,200,
Liberal Arts,51,265,595,911,
Science,117,436,669,"1,222",
Veterinary Medicine,39,235,450,724,
General Studies,61,345,"1,123","1,529",
Enrollment           1st Time in College,525,"2,555","6,630","9,710",
Tuition Status      Resident Tuition,442,"2,519","6,315","9,276",
Non-Resident Tuition,,11,118,187,
Tuition Exemption/Waiver,25,25,197,247,
Residency             Texas Resident,443,"2,519","6,331","9,293",
"Status                    Non-TX, US Resident",15,36,288,339,
"Non-TX, Non-US Resident",67,,11,78,
SCH Categories   < 6 SCH,47,247,834,"1,128",
6-8 SCH,1,11,38,50,
9-11 SCH,,7,18,25,
12-14 SCH,267,"1,261","3,538","5,066",
15-17 SCH,206,"1,021","2,188","3,415",
>17 SCH,4,8,14,26,
Ft/Pt:  TAMU      Less Than Half Time,47,247,834,"1,128",
Status                    Half-Time,1,18,56,75,
Full-Time,477,"2,290","5,740","8,507",
Top 10% Texas    No,243,663,"3,398","4,304",
High School         Yes,282,"1,892","3,232","5,406",
"Prepared by DARS, 30 Oct 13",,,,,
