Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Geosciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2013,White Only,,,American Indian Only,,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,Native Hawaii Only,,2 or More/Excluding Black,,,International,,,Unknown or Not Reported,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,10,17,27,,,,,2,2,,2,2,3,4,7,,,1,1,2,1,1,2,,,,15,27,42,
TAMU Age               <18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-21,8,14,22,,,,,,,,2,2,2,2,4,,,1,1,2,1,1,2,,,,12,20,32,
22-25,2,2,4,,,,,1,1,,,,1,2,3,,,,,,,,,,,,3,5,8,
26-30,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,2,2,
31-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification/Deg  Freshman,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,2,2,
Sophomore,5,7,12,,,,,1,1,,,,,2,2,,,1,,1,,,,,,,6,10,16,
Junior,5,9,14,,,,,,,,1,1,3,1,4,,,,1,1,1,,1,,,,9,12,21,
Senior,,1,1,,,,,1,1,,,,,,,,,,,,,1,1,,,,,3,3,
Tuition Status          Resident Tuition,10,17,27,,,,,2,2,,2,2,3,4,7,,,1,1,2,,,,,,,14,26,40,
Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,
Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,1,
Residency Status    Texas Resident,10,17,27,,,,,2,2,,2,2,3,4,7,,,1,1,2,,,,,,,14,26,40,
"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,1,1,2,,,,1,1,2,
SCH Categories       < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
12-14 SCH,3,9,12,,,,,1,1,,,,1,2,3,,,,,,1,,1,,,,5,12,17,
15-17 SCH,6,7,13,,,,,1,1,,2,2,1,2,3,,,1,1,2,,,,,,,8,13,21,
>17 SCH,,,,,,,,,,,,,1,,1,,,,,,,1,1,,,,1,1,2,
Ft/Pt:  TAMU          Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Half-Time,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
Full-Time,9,16,25,,,,,2,2,,2,2,3,4,7,,,1,1,2,1,1,2,,,,14,26,40,
Top 10% Texas        No,9,14,23,,,,,2,2,,1,1,3,3,6,,,1,1,2,1,1,2,,,,14,22,36,
"High School
Yes",1,3,4,,,,,,,,1,1,,1,1,,,,,,,,,,,,1,5,6,
First Generation     No,4,11,15,,,,,2,2,,1,1,2,1,3,,,1,1,2,,,,,,,7,16,23,
Unknown,2,,2,,,,,,,,1,1,1,1,2,,,,,,1,1,2,,,,4,3,7,
Yes,4,6,10,,,,,,,,,,,2,2,,,,,,,,,,,,4,8,12,
Dorm / Off-             Off-campus,10,16,26,,,,,2,2,,1,1,3,4,7,,,1,1,2,1,,1,,,,15,24,39,
Dorm (On-campus),,1,1,,,,,,,,1,1,,,,,,,,,,1,1,,,,,3,3,
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ree Objective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campus students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
