Headcount by Major by Level/Degree Objective by Entry Status,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,
Fall 2013,Undergraduate,,,,Masters,,,Doctoral,,,Professional,,Total,
,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,,
Agriculture              ABME,,,,,,,,4,,4,,,8,
ADEV,,,,,6,2,12,,,,,,20,
AGBL,61,68,1,65,,,,,,,,,195,
AGBU,,,,156,10,,24,,,,,,190,
AGCJ,24,27,9,247,,,,,,,,,307,
AGEC,21,23,1,182,9,,20,14,,49,,,319,
AGED,,,,,,,,,1,10,,,11,
AGLS,4,14,8,74,,,,,,,,,100,
AGRO,,,,67,7,1,13,1,,5,,,94,
AGSC,15,10,6,107,,,,,,,,,138,
AGSM,7,16,2,122,,,2,,,,,,149,
ALEC,,,,,25,,41,15,,37,,,118,
ALED,23,49,13,484,,,,,,,,,569,
ANBR,,,,,,,7,,,2,,,9,
ANSC,228,77,6,702,19,,29,6,,22,,,"1,089",
BAEN,57,4,2,162,6,,34,3,,34,,,302,
BESC,13,13,6,239,,,,,,,,,271,
BICH,105,10,4,147,,,3,25,,83,,,377,
CDEV,2,4,2,11,,,,,,,,,19,
ECOR,1,3,,21,,,,,,,,,25,
ENST,3,10,,34,,,,,,,,,47,
ENTO,4,6,2,65,8,,10,5,,40,,,140,
ESSM,,,,,4,,10,4,,28,,,46,
FISC,,,,,,,1,,,,,,1,
FIVL,101,3,,24,,,,,,,,,128,
FIVS,,,,42,,,,,,,,,42,
FORS,3,7,2,16,,,3,,,6,,,37,
FSTC,9,6,3,104,7,,13,3,,12,,,157,
GENE,25,4,1,81,,,1,12,1,27,,,152,
HORT,4,12,3,134,4,,16,2,,15,,,190,
MEPS,,,,,1,,3,8,,17,,,29,
NRDV,,,,,7,3,15,,,,,,25,
NUSC,86,24,3,418,,,,,,,,,531,
NUTR,,,,,5,,16,3,,10,,,34,
PLBR,,,,,5,,13,2,,27,,,47,
PLPA,,,,,3,,2,5,,19,,,29,
POSC,7,10,4,99,7,,9,3,,8,,,147,
PREP,,,,,1,,3,,,6,,,10,
PSSC,6,12,2,26,,,,,,,,,46,
RENR,5,10,4,61,,,,,,,,,80,
RLEM,5,5,3,39,,,,,,,,,52,
RPTS,11,38,13,335,10,,13,11,,36,,,467,
RRDV,,,,,,,1,,,,,,1,
SOSC,,,,,5,,4,3,,14,,,26,
SPSA,1,7,2,24,,,,,,,,,34,
TGSC,,3,2,13,,,,,,,,,18,
TOXI,,,,,,,1,,,2,,,3,
USAL,8,33,16,176,,,,,,,,,233,
WFSC,24,29,7,313,8,,34,10,,61,,,486,
WISC,,,,,5,,11,,,,,,16,
WMHS,,,,,,,15,,,4,,,19,
Subtotal,863,537,127,"4,790",162,6,379,139,2,578,,,"7,583",
