Texas A&M University Student Enrollment Summary,,,,,,,,,,,
Student Head Count by Level by College (College Station),,,,,,,,,,,
College Other - Special Populations,,,,,,,,,,,
Fall 2013,,,,,,,,,,,
,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                   Total,79,100.0%,56,100.0%,1,100.0%,,,136,100.0%,
Female,30,38.0%,33,58.9%,1,100.0%,,,64,47.1%,
Male,49,62.0%,23,41.1%,,,,,72,52.9%,
Ethnicity                White Only,2,2.5%,10,17.9%,1,100.0%,,,13,9.6%,
American Indian Only,,,,,,,,,,,
Asian Only,,,2,3.6%,,,,,2,1.5%,
Black Only + 2 or more/1 Black,,,1,1.8%,,,,,1,.7%,
Hispanic or Latino of any Race,2,2.5%,3,5.4%,,,,,5,3.7%,
Native Hawaii Only,,,,,,,,,,,
2 or More/Excluding Black,,,1,1.8%,,,,,1,.7%,
International,73,92.4%,34,60.7%,,,,,107,78.7%,
Unknown or Not Reported,2,2.5%,5,8.9%,,,,,7,5.1%,
TAMU Age            <18,,,,,,,,,,,
Categories             18-21,57,72.2%,3,5.4%,,,,,60,44.1%,
22-25,21,26.6%,28,50.0%,1,100.0%,,,50,36.8%,
26-30,1,1.3%,15,26.8%,,,,,16,11.8%,
31-39,,,5,8.9%,,,,,5,3.7%,
40+,,,5,8.9%,,,,,5,3.7%,
Enrollment           1st Time in College,,,,,,,,,,,
Status                     1st Time Transfer,,,,,,,,,,,
1st Time Graduate,,,9,16.1%,1,100.0%,,,10,7.4%,
1st Time Professional,,,,,,,,,,,
Readmitted,,,,,,,,,,,
Continuing,79,100.0%,47,83.9%,,,,,126,92.6%,
Tuition Status       Resident Tuition,2,2.5%,15,26.8%,,,,,17,12.5%,
Non-Resident Tuition,77,97.5%,33,58.9%,,,,,110,80.9%,
Tuition Exemption/Waiver,,,8,14.3%,1,100.0%,,,9,6.6%,
Residency Status Texas Resident,3,3.8%,16,28.6%,,,,,19,14.0%,
"Non-TX, US Resident",2,2.5%,6,10.7%,1,100.0%,,,9,6.6%,
"Non-TX, Non-US Resident",74,93.7%,34,60.7%,,,,,108,79.4%,
SCH Categories    < 6 SCH,1,1.3%,19,33.9%,1,100.0%,,,21,15.4%,
6-8 SCH,,,5,8.9%,,,,,5,3.7%,
9-11 SCH,1,1.3%,10,17.9%,,,,,11,8.1%,
12-14 SCH,54,68.4%,19,33.9%,,,,,73,53.7%,
15-17 SCH,22,27.8%,3,5.4%,,,,,25,18.4%,
>17 SCH,1,1.3%,,,,,,,1,.7%,
Ft/Pt:  TAMU       Less Than Half Time,1,1.3%,17,30.4%,,,,,18,13.2%,
Status                     Half-Time,1,1.3%,7,12.5%,1,100.0%,,,9,6.6%,
Full-Time,77,97.5%,32,57.1%,,,,,109,80.1%,
Top 10% Texas     No,79,100.0%,55,98.2%,1,100.0%,,,135,99.3%,
High School          Yes,,,1,1.8%,,,,,1,.7%,
First Generation  No,2,2.5%,2,3.6%,,,,,4,2.9%,
Unknown,77,97.5%,50,89.3%,,,,,127,93.4%,
Yes,,,4,7.1%,1,100.0%,,,5,3.7%,
"Table 8     Prepared by DARS, 12/3/2013",,,,,,,,,,,
