Ethnicity Black Only + 2 or more/1 Black,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,
Fall 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Agriculture        ABME,,,,,,,,,,,,,
ADEV,,,,,,1,1,,,,,1,
AGBL,1,,,,1,,,,,,,1,
AGBU,,,,1,1,1,1,,,,,2,
AGCJ,1,2,4,6,13,,,,,,,13,
AGEC,,,,,,,,,,,,,
AGED,,,,,,,,1,1,,,1,
AGLS,2,1,3,2,8,,,,,,,8,
AGRO,,,,,,1,1,,,,,1,
AGSC,,1,,,1,,,,,,,1,
AGSM,1,1,,,2,,,,,,,2,
ALEC,,,,,,2,2,6,6,,,8,
ALED,7,13,11,16,47,,,,,,,47,
ANBR,,,,,,1,1,,,,,1,
ANSC,9,3,1,1,14,3,3,3,3,,,20,
BAEN,2,,,2,4,2,2,3,3,,,9,
BESC,1,4,3,7,15,,,,,,,15,
BICH,10,2,3,8,23,,,1,1,,,24,
ENST,,,,,,,,,,,,,
ENTO,,,1,1,2,,,1,1,,,3,
ESSM,,,,,,,,1,1,,,1,
FISC,,,,,,,,,,,,,
FIVL,6,,,,6,,,,,,,6,
FIVS,,,1,,1,,,,,,,1,
FORS,,,,,,,,,,,,,
FSTC,,1,1,3,5,,,,,,,5,
GENE,,1,2,,3,,,2,2,,,5,
HORT,1,,,,1,,,,,,,1,
MEPS,,,,,,,,1,1,,,1,
NRDV,,,,,,,,,,,,,
NUSC,3,1,4,8,16,,,,,,,16,
PLPA,,,,,,,,2,2,,,2,
POSC,1,1,,2,4,,,1,1,,,5,
PREP,,,,,,,,,,,,,
PSSC,1,,,,1,,,,,,,1,
RENR,,1,1,1,3,,,,,,,3,
RLEM,,,,,,,,,,,,,
RPTS,2,4,8,12,26,2,2,4,4,,,32,
RRDV,,,,,,,,,,,,,
SOSC,,,,,,1,1,,,,,1,
TOXI,,,,,,1,1,,,,,1,
USAL,1,3,3,7,14,,,,,,,14,
WFSC,1,2,4,3,10,2,2,1,1,,,13,
Subtotal,50,41,50,80,221,17,17,27,27,,,265,
