Texas A&M University Student Enrollment Summary,,,,,,,,
Student Head Count by Level (Distance Education),,,,,,,,
"Distance Education (Out State), Fall 2013",,,,,,,,
,,Masters,,Doctoral,,Total,,
,,#,%,#,%,#,%,
College,Total,307,100.0%,12,100.0%,319,100.0%,
Agriculture,,17,5.5%,5,41.7%,22,6.9%,
Architecture,,,,,,,,
Business Admin,,1,.3%,,,1,.3%,
Education,,13,4.2%,7,58.3%,20,6.3%,
Engineering,,62,20.2%,,,62,19.4%,
G. Bush School of Govt,,34,11.1%,,,34,10.7%,
Geosciences,,,,,,,,
Liberal Arts,,,,,,,,
Science,,179,58.3%,,,179,56.1%,
Veterinary Medicine,,,,,,,,
General Studies,,,,,,,,
Other - Special Populations,,1,.3%,,,1,.3%,
Gender,Female,116,37.8%,9,75.0%,125,39.2%,
Male,,191,62.2%,3,25.0%,194,60.8%,
Ethnicity,White Only,210,68.4%,11,91.7%,221,69.3%,
American Indian Only,,1,.3%,,,1,.3%,
Asian Only,,27,8.8%,,,27,8.5%,
Black Only + 2 or more/1 Black,,10,3.3%,,,10,3.1%,
Hispanic or Latino of any Race,,16,5.2%,,,16,5.0%,
2 or More/Excluding Black,,4,1.3%,,,4,1.3%,
International,,24,7.8%,1,8.3%,25,7.8%,
Unknown or Not Reported,,15,4.9%,,,15,4.7%,
TAMU Age Categories,<18,,,,,,,
18-21,,,,,,,,
22-25,,31,10.1%,,,31,9.7%,
26-30,,81,26.4%,1,8.3%,82,25.7%,
31-39,,101,32.9%,8,66.7%,109,34.2%,
40+,,94,30.6%,3,25.0%,97,30.4%,
Enrollment Status,1st Time Graduate,129,42.0%,4,33.3%,133,41.7%,
Readmitted,,5,1.6%,,,5,1.6%,
Continuing,,173,56.4%,8,66.7%,181,56.7%,
Tuition Status,Non-Resident Tuition,307,100.0%,12,100.0%,319,100.0%,
Residency Status,Texas Resident,7,2.3%,,,7,2.2%,
"Non-TX, US Resident",,267,87.0%,11,91.7%,278,87.1%,
"Non-TX, Non-US Resident",,33,10.7%,1,8.3%,34,10.7%,
SCH Categories,< 6 SCH,196,63.8%,4,33.3%,200,62.7%,
6-8 SCH,,77,25.1%,6,50.0%,83,26.0%,
9-11 SCH,,33,10.7%,2,16.7%,35,11.0%,
12-14 SCH,,1,.3%,,,1,.3%,
15-17 SCH,,,,,,,,
>17 SCH,,,,,,,,
Ft/Pt:  TAMU Status,Less Than Half Time,176,64.5%,3,30.0%,179,63.3%,
Half-Time,,97,35.5%,7,70.0%,104,36.7%,
Three-Quarter Time,,,,,,,,
"Table 6Only those students not reported to THECBPrepared by DARS, 12/3/2013",,,,,,,,
