Ethnicity International,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,
Fall 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Agriculture              ABME,,,,,,,,6,6,,,6,
ADEV,,,,,,,,,,,,,
AGBL,2,,2,,4,,,,,,,4,
AGBU,,,1,1,2,14,14,,,,,16,
AGCJ,,,,3,3,,,,,,,3,
AGEC,,,1,4,5,5,5,42,42,,,52,
AGED,,,,,,,,1,1,,,1,
AGLS,,1,2,,3,,,,,,,3,
AGRO,,,1,,1,3,3,2,2,,,6,
AGSC,,,,,,,,,,,,,
AGSM,,2,1,2,5,,,,,,,5,
ALEC,,,,,,,,3,3,,,3,
ALED,,,,1,1,,,,,,,1,
ANBR,,,,,,,,1,1,,,1,
ANSC,,,1,1,2,,,5,5,,,7,
BAEN,,1,1,1,3,12,12,28,28,,,43,
BESC,7,,,,7,,,,,,,7,
BICH,,1,2,5,8,1,1,62,62,,,71,
CDEV,,,,,,,,,,,,,
ECOR,,,,,,,,,,,,,
ENST,,,,,,,,,,,,,
ENTO,1,,,,1,2,2,17,17,,,20,
ESSM,,,,,,1,1,11,11,,,12,
FISC,,,,,,,,,,,,,
FIVL,,,1,,1,,,,,,,1,
FIVS,,,,,,,,,,,,,
FORS,,1,,,1,,,3,3,,,4,
FSTC,,,1,1,2,6,6,11,11,,,19,
GENE,,,,3,3,,,5,5,,,8,
HORT,,,,,,7,7,7,7,,,14,
MEPS,,,,,,2,2,16,16,,,18,
NRDV,,,,,,,,,,,,,
NUSC,1,,,2,3,,,,,,,3,
NUTR,,,,,,5,5,7,7,,,12,
PLBR,,,,,,5,5,11,11,,,16,
PLPA,,,,,,1,1,10,10,,,11,
POSC,,,1,1,2,2,2,5,5,,,9,
PREP,,,,,,,,3,3,,,3,
PSSC,,2,,,2,,,,,,,2,
RENR,1,,,,1,,,,,,,1,
RLEM,,,,,,,,,,,,,
RPTS,,1,1,,2,6,6,23,23,,,31,
RRDV,,,,,,,,,,,,,
SOSC,,,,,,,,7,7,,,7,
SPSA,,,,,,,,,,,,,
TGSC,,,,,,,,,,,,,
TOXI,,,,,,,,1,1,,,1,
USAL,,1,,,1,,,,,,,1,
WFSC,,,,,,3,3,16,16,,,19,
WISC,,,,,,,,,,,,,
WMHS,,,,,,2,2,1,1,,,3,
Subtotal,12,10,16,25,63,77,77,304,304,,,444,
