Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Liberal Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2013,White Only,,,American Indian Only,,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,Native Hawaii Only,,2 or More/Excluding Black,,,International,,,Unknown or Not Reported,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,233,155,388,2,1,3,4,10,14,9,7,16,58,46,104,1,1,7,3,10,6,6,12,3,1,4,323,229,552,
TAMU Age               <18,1,,1,,,,1,,1,,,,,,,,,,,,,,,,,,2,,2,
18-21,210,135,345,2,1,3,2,6,8,8,7,15,51,39,90,,,7,2,9,3,2,5,2,1,3,285,193,478,
22-25,11,14,25,,,,1,3,4,1,,1,4,3,7,1,1,,1,1,3,4,7,1,,1,22,25,47,
26-30,4,6,10,,,,,1,1,,,,2,2,4,,,,,,,,,,,,6,9,15,
31-39,3,,3,,,,,,,,,,,2,2,,,,,,,,,,,,3,2,5,
40+,4,,4,,,,,,,,,,1,,1,,,,,,,,,,,,5,,5,
Classification/Deg  Freshman,19,24,43,,,,2,,2,1,1,2,4,7,11,,,2,,2,1,1,2,,,,29,33,62,
Sophomore,154,95,249,1,1,2,1,5,6,5,5,10,39,30,69,,,4,3,7,1,1,2,2,1,3,207,141,348,
Junior,60,35,95,1,,1,1,3,4,3,1,4,14,8,22,1,1,1,,1,4,4,8,1,,1,86,51,137,
Senior,,1,1,,,,,2,2,,,,1,1,2,,,,,,,,,,,,1,4,5,
Tuition Status          Resident Tuition,222,146,368,2,1,3,4,10,14,9,6,15,57,45,102,1,1,7,3,10,,,,2,,2,304,211,515,
Non-Resident Tuition,7,2,9,,,,,,,,1,1,,,,,,,,,5,6,11,,1,1,12,10,22,
Tuition Exemption/Waiver,4,7,11,,,,,,,,,,1,1,2,,,,,,1,,1,1,,1,7,8,15,
Residency Status    Texas Resident,222,147,369,2,1,3,4,10,14,9,6,15,58,45,103,1,1,7,3,10,,,,2,1,3,305,213,518,
"Non-TX, US Resident",11,8,19,,,,,,,,1,1,,1,1,,,,,,,,,1,,1,12,10,22,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,6,6,12,,,,6,6,12,
SCH Categories       < 6 SCH,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
6-8 SCH,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,4,1,5,
9-11 SCH,3,4,7,,,,,,,,,,1,,1,,,,,,,,,,,,4,4,8,
12-14 SCH,72,49,121,,1,1,2,3,5,1,3,4,26,17,43,1,1,3,2,5,1,4,5,,,,106,79,185,
15-17 SCH,147,97,244,2,,2,1,7,8,8,4,12,30,29,59,,,4,1,5,5,2,7,2,,2,199,140,339,
>17 SCH,6,3,9,,,,1,,1,,,,1,,1,,,,,,,,,1,1,2,9,4,13,
Ft/Pt:  TAMU          Less Than Half Time,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
Half-Time,7,5,12,,,,,,,,,,1,,1,,,,,,,,,,,,8,5,13,
Full-Time,225,149,374,2,1,3,4,10,14,9,7,16,57,46,103,1,1,7,3,10,6,6,12,3,1,4,314,223,537,
Top 10% Texas        No,207,147,354,2,1,3,4,9,13,8,7,15,52,45,97,,,6,3,9,6,6,12,3,1,4,288,219,507,
"High School
Yes",26,8,34,,,,,1,1,1,,1,6,1,7,1,1,1,,1,,,,,,,35,10,45,
First Generation     No,154,118,272,1,1,2,4,6,10,6,6,12,30,31,61,1,1,4,2,6,,,,2,1,3,202,165,367,
Unknown,6,8,14,,,,,1,1,1,,1,2,,2,,,,,,6,6,12,1,,1,16,15,31,
Yes,73,29,102,1,,1,,3,3,2,1,3,26,15,41,,,3,1,4,,,,,,,105,49,154,
Dorm / Off-             Off-campus,228,137,365,2,1,3,4,9,13,7,6,13,55,40,95,1,1,7,3,10,6,5,11,2,1,3,312,202,514,
Dorm (On-campus),5,18,23,,,,,1,1,2,1,3,3,6,9,,,,,,,1,1,1,,1,11,27,38,
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ree Objective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campus students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
