Ethnicity 2 or More/Excluding Black,,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,
Fall 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Architecture,COSC,,,2,3,5,,,,,,,5,
COSL,,2,3,,1,6,,,,,,,6,
ENDL,,3,1,,,4,,,,,,,4,
ENDS,,,,,3,3,,,,,,,3,
LAND,,,,,2,2,,,,,,,2,
LANL,,1,1,,,2,,,,,,,2,
URPN,,,1,,,1,,,,,,,1,
VISL,,1,1,,,2,,,,,,,2,
VIST,,,,1,1,2,3,3,,,,,5,
Subtotal,,7,7,3,10,27,3,3,,,,,30,
Business Admin,ACCT,,,6,6,12,1,1,,,,,13,
AGBU,,,,,1,1,,,,,,,1,
BHNR,,,1,1,1,3,,,,,,,3,
BUAD,,18,17,3,,38,,,,,,,38,
FINC,,,,3,6,9,2,2,,,,,11,
INFO,,,,,,,,,,,,,,
MGMT,,,,1,3,4,,,,,,,4,
MISY,,,,2,,2,2,2,,,,,4,
MKTG,,,,4,6,10,1,1,,,,,11,
SCMT,,,,1,6,7,,,,,,,7,
USBU,,,,,1,1,,,,,,,1,
Subtotal,,18,18,21,30,87,6,6,,,,,93,
Education,CPSY,,,,,,,,1,1,,,1,
EDAD,,,,,,,,,,,,,,
EDCI,,,,,,,5,5,1,1,,,6,
EDHL,,5,3,12,4,24,,,,,,,24,
EDIS,,2,6,7,,15,,,,,,,15,
EDKI,,3,7,5,1,16,,,,,,,16,
EDSM,,3,2,5,,10,,,,,,,10,
EHRD,,,,,,,1,1,1,1,,,2,
EPSY,,,,,,,1,1,1,1,,,2,
GENE,,,,,,,,,,,,,,
HEED,,,,,,,1,1,1,1,,,2,
HLTH,,,,,4,4,,,,,,,4,
HRDL,,,,2,1,3,,,,,,,3,
HRDV,,,,,2,2,,,,,,,2,
INST,,,,4,12,16,,,,,,,16,
KINE,,,,,15,15,1,1,1,1,,,17,
SPMT,,,,1,,1,1,1,,,,,2,
SPSY,,,,,,,,,2,2,,,2,
TCMG,,,,,,,,,,,,,,
TCML,,3,,2,,5,,,,,,,5,
Subtotal,,16,18,38,39,111,10,10,8,8,,,129,
