Demographic Summary by Texas Top 10% Status,,,,,,,
First-Time In College Students (College Station),,,,,,,
Fall 2013,Top 10% Texas High School,,,,Grand Total,,
,No,,Yes,,#,%,
,#,%,#,%,,,
Headcount Total,"4,304",44.3%,"5,406",55.7%,"9,710",100.0%,
Gender                Female,"1,926",38.8%,"3,036",61.2%,"4,962",100.0%,
Male,"2,378",50.1%,"2,370",49.9%,"4,748",100.0%,
Ethnicity             White Only,"2,926",48.3%,"3,129",51.7%,"6,055",100.0%,
American Indian Only,14,66.7%,7,33.3%,21,100.0%,
Asian Only,276,48.8%,290,51.2%,566,100.0%,
Black Only + 2 or more/1 Black,127,32.6%,262,67.4%,389,100.0%,
Hispanic or Latino of any Race,747,31.7%,"1,608",68.3%,"2,355",100.0%,
Native Hawaii Only,5,55.6%,4,44.4%,9,100.0%,
2 or More/Excluding Black,145,59.9%,97,40.1%,242,100.0%,
International,53,88.3%,7,11.7%,60,100.0%,
Unknown or Not Reported,11,84.6%,2,15.4%,13,100.0%,
TAMU Age          <18,30,51.7%,28,48.3%,58,100.0%,
Categories           18-21,"4,268",44.3%,"5,376",55.7%,"9,644",100.0%,
22-25,6,75.0%,2,25.0%,8,100.0%,
College                 Agriculture,258,29.9%,605,70.1%,863,100.0%,
Architecture,89,31.3%,195,68.7%,284,100.0%,
Business Admin,398,40.9%,574,59.1%,972,100.0%,
Education,246,30.8%,552,69.2%,798,100.0%,
Engineering,722,32.7%,"1,485",67.3%,"2,207",100.0%,
Geosciences,88,44.0%,112,56.0%,200,100.0%,
Liberal Arts,420,46.1%,491,53.9%,911,100.0%,
Science,409,33.5%,813,66.5%,"1,222",100.0%,
Veterinary Medicine,192,26.5%,532,73.5%,724,100.0%,
General Studies,"1,482",96.9%,47,3.1%,"1,529",100.0%,
Enrollment         1st Time in College,"4,304",44.3%,"5,406",55.7%,"9,710",100.0%,
Tuition Status    Resident Tuition,"3,983",42.9%,"5,293",57.1%,"9,276",100.0%,
Non-Resident Tuition,152,81.3%,35,18.7%,187,100.0%,
Tuition Exemption/Waiver,169,68.4%,78,31.6%,247,100.0%,
Residency           Texas Resident,"4,000",43.0%,"5,293",57.0%,"9,293",100.0%,
"Status                   Non-TX, US Resident",235,69.3%,104,30.7%,339,100.0%,
"Non-TX, Non-US Resident",69,88.5%,9,11.5%,78,100.0%,
SCH Categories < 6 SCH,"1,089",96.5%,39,3.5%,"1,128",100.0%,
6-8 SCH,48,96.0%,2,4.0%,50,100.0%,
9-11 SCH,11,44.0%,14,56.0%,25,100.0%,
12-14 SCH,"1,953",38.6%,"3,113",61.4%,"5,066",100.0%,
15-17 SCH,"1,188",34.8%,"2,227",65.2%,"3,415",100.0%,
>17 SCH,15,57.7%,11,42.3%,26,100.0%,
Ft/Pt:  TAMU     Less Than Half Time,"1,089",96.5%,39,3.5%,"1,128",100.0%,
Status                   Half-Time,59,78.7%,16,21.3%,75,100.0%,
Full-Time,"3,156",37.1%,"5,351",62.9%,"8,507",100.0%,
First                     No,"3,398",35.0%,"3,232",33.3%,"6,630",68.3%,
Generation         Unknown,243,2.5%,282,2.9%,525,5.4%,
Yes,663,6.8%,"1,892",19.5%,"2,555",26.3%,
"Prepared by DARS, 30 Oct 13",,,,,,,
