Texas A&M University Student Enrollment Summary,,,,,,
Student Head Count by Level (School of Law),,,,,,
"School of Law, Fall 2013",,Professional,,Total,,
,,#,%,#,%,
Gender,Total,770,100.0%,770,100.0%,
Female,,372,48.3%,372,48.3%,
Male,,398,51.7%,398,51.7%,
Ethnicity,White Only,543,70.5%,543,70.5%,
American Indian Only,,3,.4%,3,.4%,
Asian Only,,26,3.4%,26,3.4%,
Black Only + 2 or more/1 Black,,52,6.8%,52,6.8%,
Hispanic or Latino of any Race,,105,13.6%,105,13.6%,
2 or More/Excluding Black,,23,3.0%,23,3.0%,
International,,3,.4%,3,.4%,
Unknown or Not Reported,,15,1.9%,15,1.9%,
TAMU Age Categories,<18,,,,,
18-21,,7,.9%,7,.9%,
22-25,,293,38.1%,293,38.1%,
26-30,,229,29.7%,229,29.7%,
31-39,,157,20.4%,157,20.4%,
40+,,84,10.9%,84,10.9%,
Enrollment Status,1st Time Professional,249,32.3%,249,32.3%,
Continuing,,521,67.7%,521,67.7%,
Tuition Status,Resident Tuition,715,92.9%,715,92.9%,
Non-Resident Tuition,,55,7.1%,55,7.1%,
Residency Status,Texas Resident,752,97.7%,752,97.7%,
"Non-TX, US Resident",,16,2.1%,16,2.1%,
"Non-TX, Non-US Resident",,2,.3%,2,.3%,
SCH Categories,< 6 SCH,5,.6%,5,.6%,
6-8 SCH,,31,4.0%,31,4.0%,
9-11 SCH,,191,24.8%,191,24.8%,
12-14 SCH,,331,43.0%,331,43.0%,
15-17 SCH,,209,27.1%,209,27.1%,
>17 SCH,,3,.4%,3,.4%,
"Table 5     Prepared by DARS, 12/3/2013",,,,,,
