Demographic Summary for BLINN/TMEN Students,,,,,
(College Station),,,,,
Major TMEN,,,,,
Fall 2013,U1: Freshmen,U2: Sophomore,U3: Junior,Total,
Gender                          Total,112,2,,114,
Female,21,,,21,
Male,91,2,,93,
Ethnicity                       White Only,75,2,,77,
American Indian Only,2,,,2,
Asian Only,1,,,1,
Black Only + 2 or more/1 Black,1,,,1,
Hispanic or Latino of any Race,27,,,27,
Native Hawaii Only,,,,,
2 or More/Excluding Black,6,,,6,
TAMU Age                    <18,2,,,2,
Categories                    18-21,110,2,,112,
Enrollment Status      1st Time in College,112,2,,114,
1st Time Transfer,,,,,
Tuition Status              Resident Tuition,105,2,,107,
Non-Resident Tuition,4,,,4,
Tuition Exemption/Waiver,3,,,3,
Residency Status        Texas Resident,106,2,,108,
"Non-TX, US Resident",5,,,5,
"Non-TX, Non-US Resident",1,,,1,
Ft/Pt: TAMU Status  Not Enrolled,,,,,
Less Than Half Time,107,2,,109,
Half-Time,5,,,5,
SCH Categories           < 6 SCH,107,2,,109,
6-8 SCH,5,,,5,
First Generation          No,97,2,,99,
Unknown,1,,,1,
Yes,14,,,14,
"Prepared by DARS, 11/22/2013 ",,,,,
