Headcount by Department by Level by Entry Status,,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,,
Fall 2013,,Undergraduate,,,,Masters,,,Doctoral,,,Professional,,Total,
,,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,,
Veterinary,CLVM,724,9,1,"1,124",50,1,3,7,,,132,395,"2,446",
Medicine,VIBS,,,,,6,,29,3,,26,,,64,
VLCS,,,,,,2,,6,1,,8,,,17,
VSCS,,,,,,1,,3,3,,9,,,16,
VTPB,,,,,,2,,6,8,,28,,,44,
VTPP,,,,,,1,,4,6,,17,,,28,
Subtotal,,724,9,1,"1,124",62,1,51,28,,88,132,395,"2,615",
General,GEST,"1,529",,1,"1,230",,,,,,,,,"2,760",
Studies,Subtotal,"1,529",,1,"1,230",,,,,,,,,"2,760",
Other - Special,CLMD,,,,,2,,3,,,,,,5,
Populations,MARB,,,,1,,,,1,,,,,2,
MARS,,,,,1,,,5,,,,,,6,
SABX,,,,,77,,,30,,,,,,107,
SRPH,,,,,,7,,9,,,,,,16,
Subtotal,,,,,79,9,,47,1,,,,,136,
University,Total,9710,2077,403,29839,2354,18,2874,797,11,3839,132,395,52449,
"Prepared by DARS, 04 Dec 13",,,,,,,,,,,,,,,
