Headcount by Department by Classification/Degree Objective by Ethnicity,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,
Ethnicity Black Only + 2 or more/1 Black,,,,,,,,,,,,,,
Fall 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Agriculture,AGEC,1,,,1,2,1,1,,,,,3,
ALEC,,8,19,17,29,73,3,3,7,7,,,83,
ANSC,,9,3,1,1,14,4,4,3,3,,,21,
BAEN,,3,1,,2,6,2,2,3,3,,,11,
BCBP,,10,3,5,8,26,,,3,3,,,29,
CLAG,,3,1,4,2,10,,,,,,,10,
ENTO,,6,,2,1,9,,,1,1,,,10,
ESSM,,,1,1,1,3,,,1,1,,,4,
HRSC,,1,,,,1,,,,,,,1,
NFSC,,3,2,5,11,21,1,1,,,,,22,
PLPM,,1,4,3,7,15,,,2,2,,,17,
POSC,,1,1,,2,4,,,1,1,,,5,
RPTS,,2,4,8,12,26,2,2,4,4,,,32,
SCSC,,1,,,,1,2,2,1,1,,,4,
WFSC,,1,2,4,3,10,2,2,1,1,,,13,
Subtotal,,50,41,50,80,221,17,17,27,27,,,265,
Architecture,ARCH,3,3,2,,8,1,1,,,,,9,
CLAR,,5,3,1,,9,,,,,,,9,
COSC,,1,2,4,4,11,4,4,,,,,15,
LAUP,,,,,,,6,6,4,4,,,10,
VIZA,,1,2,,2,5,,,,,,,5,
Subtotal,,10,10,7,6,33,11,11,4,4,,,48,
Business,ACCT,,,8,5,13,3,3,2,2,,,18,
Admin,CLBA,38,12,5,5,60,12,12,,,,,72,
FINC,,,,2,2,4,,,,,,,4,
INFO,,,,6,6,12,1,1,,,,,13,
MGMT,,,,4,5,9,1,1,2,2,,,12,
MKTG,,,,3,2,5,1,1,,,,,6,
Subtotal,,38,12,28,25,103,18,18,4,4,,,125,
Education,CLED,,,,,,,,,,,,,
EAHR,,9,1,4,7,21,12,12,43,43,,,76,
EPSY,,,,,3,3,4,4,11,11,,,18,
HLKN,,61,29,25,34,149,26,26,9,9,,,184,
TLAC,,13,3,3,7,26,12,12,33,33,,,71,
Subtotal,,83,33,32,51,199,54,54,96,96,,,349,
Engineering,AERO,5,1,3,1,10,,,1,1,,,11,
BMEN,,2,1,,5,8,,,1,1,,,9,
CHEN,,1,3,2,5,11,7,7,1,1,,,19,
CLEN,,10,,,,10,,,2,2,,,12,
CSCE,,10,9,7,8,34,,,3,3,,,37,
CVEN,,10,3,3,8,24,3,3,,,,,27,
ECEN,,3,6,9,9,27,2,2,2,2,,,31,
ETID,,4,6,13,19,42,5,5,,,,,47,
ISEN,,1,2,3,11,17,8,8,2,2,,,27,
MEEN,,7,1,5,5,18,4,4,3,3,,,25,
MSEN,,,,,,,,,1,1,,,1,
NUEN,,2,1,1,5,9,2,2,1,1,,,12,
PETE,,3,2,5,5,15,5,5,4,4,,,24,
Subtotal,,58,35,51,81,225,36,36,21,21,,,282,
