Texas A&M University Student Enrollment Summary,,,,,,,,,,,
Student Head Count by Level by College (College Station),,,,,,,,,,,
College Education,,,,,,,,,,,
Fall 2013,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                   Total,"4,832",100.0%,690,100.0%,621,100.0%,,,"6,143",100.0%,
Female,"3,636",75.2%,519,75.2%,407,65.5%,,,"4,562",74.3%,
Male,"1,196",24.8%,171,24.8%,214,34.5%,,,"1,581",25.7%,
Ethnicity                White Only,"3,507",72.6%,418,60.6%,272,43.8%,,,"4,197",68.3%,
American Indian Only,7,.1%,,,,,,,7,.1%,
Asian Only,113,2.3%,14,2.0%,23,3.7%,,,150,2.4%,
Black Only + 2 or more/1 Black,199,4.1%,54,7.8%,96,15.5%,,,349,5.7%,
Hispanic or Latino of any Race,874,18.1%,109,15.8%,108,17.4%,,,"1,091",17.8%,
Native Hawaii Only,3,.1%,,,,,,,3,.0%,
2 or More/Excluding Black,111,2.3%,10,1.4%,8,1.3%,,,129,2.1%,
International,16,.3%,79,11.4%,110,17.7%,,,205,3.3%,
Unknown or Not Reported,2,.0%,6,.9%,4,.6%,,,12,.2%,
TAMU Age            <18,2,.0%,,,,,,,2,.0%,
Categories             18-21,"3,667",75.9%,13,1.9%,,,,,"3,680",59.9%,
22-25,"1,097",22.7%,307,44.5%,53,8.5%,,,"1,457",23.7%,
26-30,36,.7%,172,24.9%,144,23.2%,,,352,5.7%,
31-39,18,.4%,134,19.4%,209,33.7%,,,361,5.9%,
40+,12,.2%,64,9.3%,215,34.6%,,,291,4.7%,
Enrollment           1st Time in College,798,16.5%,,,,,,,798,13.0%,
Status                     1st Time Transfer,308,6.4%,,,,,,,308,5.0%,
1st Time Graduate,,,319,46.2%,82,13.2%,,,401,6.5%,
1st Time Professional,,,,,,,,,,,
Readmitted,57,1.2%,4,.6%,5,.8%,,,66,1.1%,
Continuing,"3,669",75.9%,367,53.2%,534,86.0%,,,"4,570",74.4%,
Tuition Status       Resident Tuition,"4,738",98.1%,568,82.3%,440,70.9%,,,"5,746",93.5%,
Non-Resident Tuition,62,1.3%,73,10.6%,35,5.6%,,,170,2.8%,
Tuition Exemption/Waiver,32,.7%,49,7.1%,146,23.5%,,,227,3.7%,
Residency Status Texas Resident,"4,740",98.1%,573,83.0%,453,72.9%,,,"5,766",93.9%,
"Non-TX, US Resident",76,1.6%,38,5.5%,58,9.3%,,,172,2.8%,
"Non-TX, Non-US Resident",16,.3%,79,11.4%,110,17.7%,,,205,3.3%,
SCH Categories    < 6 SCH,29,.6%,103,14.9%,226,36.4%,,,358,5.8%,
6-8 SCH,243,5.0%,309,44.8%,85,13.7%,,,637,10.4%,
9-11 SCH,157,3.2%,225,32.6%,260,41.9%,,,642,10.5%,
12-14 SCH,"2,587",53.5%,50,7.2%,45,7.2%,,,"2,682",43.7%,
15-17 SCH,"1,739",36.0%,3,.4%,5,.8%,,,"1,747",28.4%,
>17 SCH,77,1.6%,,,,,,,77,1.3%,
Ft/Pt:  TAMU       Less Than Half Time,29,.6%,84,12.2%,188,30.3%,,,301,4.9%,
Status                     Half-Time,400,8.3%,328,47.5%,123,19.8%,,,851,13.9%,
Full-Time,"4,403",91.1%,278,40.3%,310,49.9%,,,"4,991",81.2%,
Top 10% Texas     No,"2,658",55.0%,634,91.9%,592,95.3%,,,"3,884",63.2%,
High School          Yes,"2,174",45.0%,56,8.1%,29,4.7%,,,"2,259",36.8%,
First Generation  No,"3,390",70.2%,367,53.2%,284,45.7%,,,"4,041",65.8%,
Unknown,129,2.7%,101,14.6%,117,18.8%,,,347,5.6%,
Yes,"1,313",27.2%,222,32.2%,220,35.4%,,,"1,755",28.6%,
"Table 8     Prepared by DARS, 12/3/2013",,,,,,,,,,,
