Texas A&M University Student Enrollment Summary,,,,,,,,,,,,,,,,,,,,,,
Student Head Count by Student Level (All Campuses),,,,,,,,,,,,,,,,,,,,,,
Fall 2013                                                           Undergraduate                                  Masters                                         Doctoral                                    Professional                                        Total,,,,,,,,,,,,,,,,,,,,,,
,,#,,%,,#,,%,,#,,%,,#,,%,,#,,%,,
College,Total,,"44,569",,100.0%,,"5,692",,100.0%,,"4,697",,100.0%,,"1,297",,100.0%,,"56,255",,100.0%,
,Agriculture,,"6,317",,14.2%,,567,,10.0%,,729,,15.5%,,,,,,"7,613",,13.5%,
,Architecture,,"1,640",,3.7%,,374,,6.6%,,115,,2.4%,,,,,,"2,129",,3.8%,
,Business Admin,,"4,692",,10.5%,,906,,15.9%,,70,,1.5%,,,,,,"5,668",,10.1%,
,Education,,"4,832",,10.8%,,703,,12.4%,,628,,13.4%,,,,,,"6,163",,11.0%,
,Engineering,,"9,260",,20.8%,,"1,655",,29.1%,,"1,487",,31.7%,,,,,,"12,402",,22.0%,
,G. Bush School of Govt,,,,,,411,,7.2%,,,,,,,,,,411,,.7%,
,Geosciences,,883,,2.0%,,169,,3.0%,,195,,4.2%,,,,,,"1,247",,2.2%,
,Liberal Arts,,"6,788",,15.2%,,239,,4.2%,,631,,13.4%,,,,,,"7,658",,13.6%,
,Science,,"2,927",,6.6%,,364,,6.4%,,698,,14.9%,,,,,,"3,989",,7.1%,
,Veterinary Medicine,,"1,858",,4.2%,,114,,2.0%,,116,,2.5%,,527,,40.6%,,"2,615",,4.6%,
,General Studies,,"2,760",,6.2%,,,,,,,,,,,,,,"2,760",,4.9%,
,Other - Special Populations,,"2,612",,5.9%,,190,,3.3%,,28,,.6%,,770,,59.4%,,"3,600",,6.4%,
Gender,Female,,"21,259",,47.7%,,"2,416",,42.4%,,"1,858",,39.6%,,776,,59.8%,,"26,309",,46.8%,
,Male,,"23,310",,52.3%,,"3,276",,57.6%,,"2,839",,60.4%,,521,,40.2%,,"29,946",,53.2%,
Ethnicity,White Only,,"29,863",,67.0%,,"2,750",,48.3%,,"1,625",,34.6%,,994,,76.6%,,"35,232",,62.6%,
,American Indian Only,,128,,.3%,,7,,.1%,,7,,.1%,,6,,.5%,,148,,.3%,
