Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students (College Station),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College General Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2013,White Only,,,American Indian Only,,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,Native Hawaii Only,,2 or More/Excludin g Black,,,International,,,Unknown or Not Reported,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,532,559,"1,091",2,4,6,31,27,58,14,12,26,144,155,299,,,26,23,49,,,,,,,749,780,"1,529",
TAMU Age                <18,1,2,3,,,,,,,,1,1,,,,,,,,,,,,,,,1,3,4,
18-21,531,555,"1,086",2,4,6,31,27,58,14,11,25,144,155,299,,,26,23,49,,,,,,,748,775,"1,523",
22-25,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,
Classification/Deg  Freshman,525,543,"1,068",2,4,6,30,27,57,13,12,25,141,151,292,,,26,23,49,,,,,,,737,760,"1,497",
"ree Objective
Sophomore",7,16,23,,,,,,,1,,1,3,4,7,,,,,,,,,,,,11,20,31,
Junior,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,1,
Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status          Resident Tuition,511,535,"1,046",2,4,6,30,25,55,14,10,24,142,151,293,,,26,22,48,,,,,,,725,747,"1,472",
Non-Resident Tuition,17,7,24,,,,,2,2,,1,1,1,2,3,,,,,,,,,,,,18,12,30,
Tuition Exemption/Waiver,4,17,21,,,,1,,1,,1,1,1,2,3,,,,1,1,,,,,,,6,21,27,
Residency Status     Texas Resident,511,535,"1,046",2,4,6,30,26,56,14,11,25,143,151,294,,,26,22,48,,,,,,,726,749,"1,475",
"Non-TX, US Resident",21,22,43,,,,1,1,2,,1,1,1,4,5,,,,1,1,,,,,,,23,29,52,
"Non-TX, Non-US Resident",,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,
SCH Categories       < 6 SCH,405,415,820,1,4,5,20,23,43,10,8,18,96,106,202,,,20,19,39,,,,,,,552,575,"1,127",
6-8 SCH,15,23,38,,,,1,1,2,,,,4,5,9,,,,1,1,,,,,,,20,30,50,
9-11 SCH,1,2,3,,,,1,,1,,,,1,1,2,,,,,,,,,,,,3,3,6,
12-14 SCH,101,105,206,1,,1,9,3,12,3,2,5,36,39,75,,,5,3,8,,,,,,,155,152,307,
15-17 SCH,10,14,24,,,,,,,1,2,3,7,4,11,,,1,,1,,,,,,,19,20,39,
>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU           Less Than Half Time,405,415,820,1,4,5,20,23,43,10,8,18,96,106,202,,,20,19,39,,,,,,,552,575,"1,127",
"Status
Half-Time",16,25,41,,,,2,1,3,,,,5,6,11,,,,1,1,,,,,,,23,33,56,
Full-Time,111,119,230,1,,1,9,3,12,4,4,8,43,43,86,,,6,3,9,,,,,,,174,172,346,
Top 10% Texas         No,510,548,"1,058",2,4,6,28,27,55,14,11,25,141,149,290,,,26,22,48,,,,,,,721,761,"1,482",
Yes,22,11,33,,,,3,,3,,1,1,3,6,9,,,,1,1,,,,,,,28,19,47,
First Generation      No,407,454,861,2,3,5,16,20,36,4,6,10,84,87,171,,,22,18,40,,,,,,,535,588,"1,123",
Unknown,15,25,40,,,,1,3,4,2,1,3,10,3,13,,,,1,1,,,,,,,28,33,61,
Yes,110,80,190,,1,1,14,4,18,8,5,13,50,65,115,,,4,4,8,,,,,,,186,159,345,
Dorm / Off-              Off-campus,478,410,888,2,4,6,23,20,43,10,5,15,108,91,199,,,23,15,38,,,,,,,644,545,"1,189",
"campus students
Dorm (On-campus)",54,149,203,,,,8,7,15,4,7,11,36,64,100,,,3,8,11,,,,,,,105,235,340,
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 30 Oct 13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
