Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students (College Station),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Liberal Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2013,White Only,,,American Indian Only,,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,Native Hawaii Only,,2 or More/Excludin g Black,,,International,,,Unknown or Not Reported,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,355,197,552,2,,2,17,13,30,33,5,38,175,84,259,1,1,9,13,22,4,2,6,1,,1,596,315,911,
TAMU Age                <18,2,1,3,,,,,,,1,,1,,,,,,,,,,,,,,,3,1,4,
18-21,353,196,549,2,,2,17,13,30,32,5,37,175,84,259,1,1,9,13,22,4,2,6,1,,1,593,314,907,
22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification/Deg  Freshman,322,183,505,2,,2,15,12,27,32,4,36,159,76,235,1,1,9,12,21,4,1,5,1,,1,544,289,833,
"ree Objective
Sophomore",30,12,42,,,,1,1,2,,1,1,16,3,19,,,,1,1,,1,1,,,,47,19,66,
Junior,3,2,5,,,,,,,1,,1,,5,5,,,,,,,,,,,,4,7,11,
Senior,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,1,
Tuition Status          Resident Tuition,340,177,517,2,,2,17,11,28,31,5,36,172,83,255,1,1,9,13,22,,,,1,,1,572,290,862,
Non-Resident Tuition,8,4,12,,,,,1,1,1,,1,1,1,2,,,,,,1,1,2,,,,11,7,18,
Tuition Exemption/Waiver,7,16,23,,,,,1,1,1,,1,2,,2,,,,,,3,1,4,,,,13,18,31,
Residency Status     Texas Resident,341,179,520,2,,2,17,11,28,31,5,36,172,83,255,1,1,9,13,22,,,,1,,1,573,292,865,
"Non-TX, US Resident",13,17,30,,,,,1,1,2,,2,2,1,3,,,,,,,,,,,,17,19,36,
"Non-TX, Non-US Resident",1,1,2,,,,,1,1,,,,1,,1,,,,,,4,2,6,,,,6,4,10,
SCH Categories       < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,2,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
12-14 SCH,180,87,267,1,,1,8,5,13,13,2,15,66,24,90,,,2,8,10,1,1,2,,,,271,127,398,
15-17 SCH,171,110,281,1,,1,9,8,17,20,3,23,108,58,166,1,1,7,5,12,3,1,4,1,,1,320,186,506,
>17 SCH,2,,2,,,,,,,,,,1,2,3,,,,,,,,,,,,3,2,5,
Ft/Pt:  TAMU           Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Status
Half-Time",2,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
Full-Time,353,197,550,2,,2,17,13,30,33,5,38,175,84,259,1,1,9,13,22,4,2,6,1,,1,594,315,909,
Top 10% Texas         No,169,119,288,,,,9,10,19,9,1,10,47,36,83,1,1,3,10,13,3,2,5,1,,1,241,179,420,
Yes,186,78,264,2,,2,8,3,11,24,4,28,128,48,176,,,6,3,9,1,,1,,,,355,136,491,
First Generation      No,289,151,440,1,,1,8,10,18,13,3,16,62,38,100,1,1,8,10,18,,,,1,,1,382,213,595,
Unknown,10,9,19,,,,2,1,3,1,,1,14,7,21,,,,1,1,4,2,6,,,,31,20,51,
Yes,56,37,93,1,,1,7,2,9,19,2,21,99,39,138,,,1,2,3,,,,,,,183,82,265,
Dorm / Off-              Off-campus,137,60,197,2,,2,8,6,14,9,2,11,61,19,80,1,1,2,3,5,2,2,4,1,,1,222,93,315,
"campus students
Dorm (On-campus)",218,137,355,,,,9,7,16,24,3,27,114,65,179,,,7,10,17,2,,2,,,,374,222,596,
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 30 Oct 13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
