Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2013,White Only,,,American Indian Only,,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,Native Hawaii Only,,2 or More/Excluding Black,,,International,,,Unknown or Not Reported,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,195,54,249,,1,1,2,2,4,1,4,5,26,8,34,,,8,3,11,2,1,3,1,,1,235,73,308,
TAMU Age               <18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-21,179,48,227,,1,1,2,2,4,1,2,3,22,6,28,,,8,2,10,1,,1,,,,213,61,274,
22-25,11,6,17,,,,,,,,1,1,3,1,4,,,,1,1,,1,1,1,,1,15,10,25,
26-30,4,,4,,,,,,,,1,1,1,1,2,,,,,,,,,,,,5,2,7,
31-39,1,,1,,,,,,,,,,,,,,,,,,1,,1,,,,2,,2,
40+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification/Deg  Freshman,14,4,18,,,,,,,,,,1,1,2,,,1,,1,,,,,,,16,5,21,
Sophomore,107,30,137,,,,1,1,2,1,2,3,11,4,15,,,3,1,4,1,,1,,,,124,38,162,
Junior,65,17,82,,1,1,1,1,2,,2,2,13,3,16,,,4,2,6,,,,1,,1,84,26,110,
Senior,9,3,12,,,,,,,,,,1,,1,,,,,,1,1,2,,,,11,4,15,
Tuition Status          Resident Tuition,191,54,245,,1,1,2,2,4,1,4,5,25,8,33,,,8,3,11,,,,1,,1,228,72,300,
Non-Resident Tuition,3,,3,,,,,,,,,,1,,1,,,,,,,1,1,,,,4,1,5,
Tuition Exemption/Waiver,1,,1,,,,,,,,,,,,,,,,,,2,,2,,,,3,,3,
Residency Status    Texas Resident,191,54,245,,1,1,2,2,4,1,4,5,26,8,34,,,8,3,11,,,,1,,1,229,72,301,
"Non-TX, US Resident",4,,4,,,,,,,,,,,,,,,,,,,,,,,,4,,4,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,2,1,3,,,,2,1,3,
SCH Categories       < 6 SCH,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,1,1,2,
6-8 SCH,,,,,,,,,,,,,1,,1,,,,1,1,,,,,,,1,1,2,
9-11 SCH,4,,4,,,,,1,1,,,,,,,,,,,,,,,,,,4,1,5,
12-14 SCH,75,31,106,,1,1,,,,1,1,2,10,5,15,,,,1,1,,1,1,1,,1,87,40,127,
15-17 SCH,111,23,134,,,,2,1,3,,3,3,14,2,16,,,8,1,9,2,,2,,,,137,30,167,
>17 SCH,5,,5,,,,,,,,,,,,,,,,,,,,,,,,5,,5,
Ft/Pt:  TAMU          Less Than Half Time,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,1,1,2,
Half-Time,4,,4,,,,,1,1,,,,1,,1,,,,1,1,,,,,,,5,2,7,
Full-Time,191,54,245,,1,1,2,1,3,1,4,5,24,7,31,,,8,2,10,2,1,3,1,,1,229,70,299,
Top 10% Texas        No,179,48,227,,,,2,2,4,1,4,5,24,6,30,,,7,3,10,2,1,3,1,,1,216,64,280,
"High School
Yes",16,6,22,,1,1,,,,,,,2,2,4,,,1,,1,,,,,,,19,9,28,
First Generation     No,150,41,191,,1,1,2,1,3,,1,1,11,1,12,,,6,,6,,,,,,,169,45,214,
Unknown,4,4,8,,,,,,,,,,1,,1,,,,,,2,1,3,,,,7,5,12,
Yes,41,9,50,,,,,1,1,1,3,4,14,7,21,,,2,3,5,,,,1,,1,59,23,82,
Dorm / Off-             Off-campus,193,53,246,,1,1,2,2,4,1,4,5,25,7,32,,,8,3,11,2,1,3,1,,1,232,71,303,
Dorm (On-campus),2,1,3,,,,,,,,,,1,1,2,,,,,,,,,,,,3,2,5,
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ree Objective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campus students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 30 Oct 13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
