Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2013,White Only,,,American Indian Only,,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,Native Hawaii Only,,2 or More/Excluding Black,,,International,,,Unknown or Not Reported,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,192,205,397,3,3,6,8,5,13,4,3,7,39,42,81,,,8,10,18,9,5,14,1,,1,264,273,537,
TAMU Age               <18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-21,164,151,315,3,3,6,5,4,9,3,2,5,33,33,66,,,6,7,13,5,5,10,1,,1,220,205,425,
22-25,20,39,59,,,,3,1,4,1,1,2,5,4,9,,,1,2,3,3,,3,,,,33,47,80,
26-30,6,10,16,,,,,,,,,,1,4,5,,,,,,1,,1,,,,8,14,22,
31-39,,3,3,,,,,,,,,,,1,1,,,,1,1,,,,,,,,5,5,
40+,2,2,4,,,,,,,,,,,,,,,1,,1,,,,,,,3,2,5,
Classification/Deg  Freshman,15,15,30,,,,1,,1,,,,1,3,4,,,,,,,,,,,,17,18,35,
Sophomore,102,103,205,3,3,6,2,3,5,1,1,2,22,23,45,,,3,6,9,1,3,4,1,,1,135,142,277,
Junior,71,78,149,,,,2,2,4,3,2,5,15,15,30,,,5,3,8,6,1,7,,,,102,101,203,
Senior,4,9,13,,,,3,,3,,,,1,1,2,,,,1,1,2,1,3,,,,10,12,22,
Tuition Status          Resident Tuition,180,197,377,3,3,6,7,5,12,2,2,4,38,41,79,,,8,9,17,,,,1,,1,239,257,496,
Non-Resident Tuition,4,2,6,,,,1,,1,1,1,2,1,,1,,,,,,6,4,10,,,,13,7,20,
Tuition Exemption/Waiver,8,6,14,,,,,,,1,,1,,1,1,,,,1,1,3,1,4,,,,12,9,21,
Residency Status    Texas Resident,180,197,377,3,3,6,7,5,12,2,2,4,39,41,80,,,8,9,17,,,,1,,1,240,257,497,
"Non-TX, US Resident",12,8,20,,,,1,,1,2,1,3,,1,1,,,,1,1,,,,,,,15,11,26,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,9,5,14,,,,9,5,14,
SCH Categories       < 6 SCH,2,1,3,,,,,,,,,,,1,1,,,,,,,,,,,,2,2,4,
6-8 SCH,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,
9-11 SCH,,2,2,,,,,,,,,,,,,,,1,,1,,,,,,,1,2,3,
12-14 SCH,103,130,233,2,2,4,6,3,9,2,2,4,29,31,60,,,2,7,9,3,4,7,,,,147,179,326,
15-17 SCH,84,69,153,1,1,2,2,2,4,2,1,3,10,10,20,,,5,3,8,5,,5,1,,1,110,86,196,
>17 SCH,2,,2,,,,,,,,,,,,,,,,,,1,1,2,,,,3,1,4,
Ft/Pt:  TAMU          Less Than Half Time,2,1,3,,,,,,,,,,,1,1,,,,,,,,,,,,2,2,4,
Half-Time,1,5,6,,,,,,,,,,,,,,,1,,1,,,,,,,2,5,7,
Full-Time,189,199,388,3,3,6,8,5,13,4,3,7,39,41,80,,,7,10,17,9,5,14,1,,1,260,266,526,
Top 10% Texas        No,178,198,376,3,3,6,8,5,13,4,3,7,36,40,76,,,7,10,17,9,5,14,1,,1,246,264,510,
"High School
Yes",14,7,21,,,,,,,,,,3,2,5,,,1,,1,,,,,,,18,9,27,
First Generation     No,126,134,260,1,2,3,6,3,9,1,,1,20,27,47,,,6,6,12,,,,,,,160,172,332,
Unknown,4,10,14,,,,1,1,2,1,,1,1,,1,,,,,,9,4,13,1,,1,17,15,32,
Yes,62,61,123,2,1,3,1,1,2,2,3,5,18,15,33,,,2,4,6,,1,1,,,,87,86,173,
Dorm / Off-             Off-campus,192,201,393,3,3,6,8,5,13,4,3,7,39,37,76,,,8,8,16,9,4,13,1,,1,264,261,525,
Dorm (On-campus),,4,4,,,,,,,,,,,5,5,,,,2,2,,1,1,,,,,12,12,
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ree Objective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campus students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 30 Oct 13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
