Ethnicity 2 or More/Excluding Black,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,
Fall 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Engineering             AERL,3,6,,,9,,,,,,,9,
AERO,,2,,6,8,,,,,,,8,
BIOT,,,,,,,,,,,,,
BMEL,4,1,,,5,,,,,,,5,
BMEN,,1,2,7,10,1,1,3,3,,,14,
CECL,3,1,1,1,6,,,,,,,6,
CECN,,,,2,2,1,1,,,,,3,
CEEL,5,,,,5,,,,,,,5,
CEEN,,,,2,2,,,,,,,2,
CHEL,2,4,,,6,,,,,,,6,
CHEN,1,5,4,7,17,,,1,1,,,18,
CPSC,,1,2,5,8,1,1,,,,,9,
CPSL,5,2,2,2,11,,,,,,,11,
CVEL,7,3,,,10,,,,,,,10,
CVEN,,1,1,1,3,2,2,1,1,,,6,
ELEL,4,2,1,,7,,,,,,,7,
ELEN,,3,3,12,18,2,2,,,,,20,
ENGE,11,1,,,12,,,,,,,12,
ENTC,,,,4,4,,,,,,,4,
ENTL,,,1,,1,,,,,,,1,
HLPH,,,,,,,,,,,,,
IDIL,,,3,,3,,,,,,,3,
IDIS,,2,2,5,9,,,,,,,9,
INEL,3,3,1,,7,,,,,,,7,
INEN,,,5,10,15,1,1,,,,,16,
ITDE,,,,,,,,,,,,,
MEEL,10,1,2,,13,,,,,,,13,
MEEN,,3,7,4,14,1,1,,,,,15,
MSEN,,,,,,,,1,1,,,1,
NUEL,,,1,,1,,,,,,,1,
NUEN,,1,2,1,4,,,1,1,,,5,
OCEL,,,,,,,,,,,,,
OCEN,,,1,2,3,1,1,,,,,4,
PETE,1,1,4,5,11,3,3,,,,,14,
PETL,6,2,,,8,,,,,,,8,
RHEL,,,,,,,,,,,,,
RHEN,,1,1,2,4,,,,,,,4,
WMHS,,,,,,,,,,,,,
Subtotal,65,47,46,78,236,13,13,7,7,,,256,
G. Bush School of  CNPM,,,,,,1,1,,,,,1,
Govt                          INTA,,,,,,5,5,,,,,5,
PSAA,,,,,,3,3,,,,,3,
Subtotal,,,,,,9,9,,,,,9,
Geosciences             ATMO,,,,,,,,,,,,,
ENGS,,1,2,1,4,,,,,,,4,
ENST,1,1,,,2,,,,,,,2,
GEOG,1,,,1,2,,,1,1,,,3,
GEOL,1,,2,1,4,1,1,,,,,5,
GEOP,,,1,,1,,,,,,,1,
METL,3,,,,3,,,,,,,3,
METR,,,,,,,,,,,,,
OCNG,,,,,,,,1,1,,,1,
WMHS,,,,,,,,1,1,,,1,
Subtotal,6,2,5,3,16,1,1,3,3,,,20,
